file_name,start_time,end_time,phoneme,word,preceding_phone,following_phone,f1_10,f1_20,f1_30,f1_40,f1_50,f1_60,f1_70,f1_80,f1_90,f2_10,f2_20,f2_30,f2_40,f2_50,f2_60,f2_70,f2_80,f2_90,f3_10,f3_20,f3_30,f3_40,f3_50,f3_60,f3_70,f3_80,f3_90,f4_10,f4_20,f4_30,f4_40,f4_50,f4_60,f4_70,f4_80,f4_90,f5_10,f5_20,f5_30,f5_40,f5_50,f5_60,f5_70,f5_80,f5_90,bw1_10,bw1_20,bw1_30,bw1_40,bw1_50,bw1_60,bw1_70,bw1_80,bw1_90,bw2_10,bw2_20,bw2_30,bw2_40,bw2_50,bw2_60,bw2_70,bw2_80,bw2_90,bw3_10,bw3_20,bw3_30,bw3_40,bw3_50,bw3_60,bw3_70,bw3_80,bw3_90,bw4_10,bw4_20,bw4_30,bw4_40,bw4_50,bw4_60,bw4_70,bw4_80,bw4_90,bw5_10,bw5_20,bw5_30,bw5_40,bw5_50,bw5_60,bw5_70,bw5_80,bw5_90
bco_prodShadow0_ada,1.0690000000,1.2500000000,a,,boundary,ð,848.4687,886.1549,929.6822,864.0324,881.0493,843.9202,816.3703,729.1788,584.2215,1562.1224,1521.3358,1540.5636,1426.3482,1434.7376,1404.8069,1391.7019,1414.8713,1382.6027,2367.8615,2358.8470,2354.9459,2325.4446,2331.2082,2347.2586,2389.5717,2529.0359,2559.7704,3328.0080,3102.8775,3166.7173,3195.1071,3292.0114,3300.4188,3296.5581,3644.3251,4049.5600,4512.6636,4437.1803,4470.2860,4559.7140,4836.9768,4704.2065,4845.5930,4751.7446,,146.6607,200.3273,255.3789,138.4995,134.3374,128.1199,121.4471,118.7901,123.4796,264.9707,277.6480,361.4769,152.8138,189.5064,147.7062,135.6478,118.1782,111.5870,125.0745,117.2714,127.4607,165.1959,171.5682,123.6141,147.4375,189.9333,56.2326,775.3354,842.4030,1147.1115,803.5968,945.4114,919.9936,846.1878,771.6350,688.2138,907.4955,642.5521,316.7577,241.4504,308.6065,370.3482,543.9477,1151.9458,
bco_prodShadow0_ada,1.2500000000,1.2781000000,ð,,a,a,364.7571,360.4694,357.4630,369.0721,380.6812,391.4206,402.0125,424.3810,453.6780,1335.6847,1319.9459,1305.9875,1312.3371,1318.6867,1323.0079,1326.9855,1331.8502,1337.2368,2556.3745,2553.0185,2550.0305,2551.2405,2552.4506,2569.1996,2588.5819,2597.4963,2600.2522,3993.6265,3959.9217,3927.4322,3908.8062,3890.1802,3867.9600,3845.1307,3734.6899,3572.7039,,5156.5727,5156.0284,5149.2747,5142.5210,5141.5424,,,4811.3998,327.4908,262.8277,202.0580,185.6997,169.3413,152.8652,136.3691,126.0147,119.2738,168.0483,131.7923,97.1845,81.3777,65.5708,62.7104,62.0439,67.1054,75.5368,95.8693,87.8344,80.5670,82.0541,83.5413,89.5421,96.3077,87.6081,69.8096,212.7195,351.3274,483.6246,543.9367,604.2488,636.6338,664.2863,705.9414,755.8347,,795.1097,788.5356,706.9716,625.4076,613.5886,,,1433.4423
bco_prodShadow0_ada,1.2781000000,1.3456000000,a,,ð,boundary,502.2348,540.2256,574.3604,603.8005,627.1771,649.3604,672.0234,678.4103,751.2188,1347.8204,1361.7128,1380.9401,1387.5299,1390.8388,1392.6479,1393.0439,1384.6678,1397.5085,2609.5285,2625.5912,2649.0515,2660.3281,2671.9210,2680.3069,2671.2681,2661.4066,2644.1007,3543.3345,3580.1446,3660.7518,3351.2821,3095.3819,3814.7079,4221.9835,4091.5660,4018.3685,4513.4390,4517.6816,4691.6460,4736.9954,4747.2234,4525.2376,4943.1195,4923.2724,5104.0374,90.0103,105.9480,128.8472,121.3138,99.2567,69.3740,51.1175,28.8160,59.7766,78.6374,92.9938,108.6531,109.1706,101.6626,83.4024,63.5266,40.4047,130.2083,45.3630,46.1182,33.0509,39.9284,63.6912,45.1535,51.0722,57.2809,87.7005,1079.8959,1156.0232,1069.9250,1000.9546,766.0752,758.6408,572.3780,823.1623,474.0145,798.8152,828.2699,1018.6540,763.3035,687.2027,1244.1185,2708.1146,2452.5725,1642.8266
bco_prodShadow0_ada1,0.8276000000,1.0300000000,a,,boundary,ð,896.5233,935.6673,852.6716,852.4902,868.9011,852.8753,838.6978,774.3750,632.7300,1534.5566,1543.8247,1475.2724,1444.6849,1451.0815,1428.5080,1430.3602,1484.0482,1450.9958,2375.2090,2429.3533,2334.4880,2338.4494,2356.6424,2370.4290,2409.3310,2452.4261,2684.4404,3361.0606,3375.0587,3186.2248,2839.1288,2909.4027,2863.1633,2971.9195,3586.0773,3949.9456,4755.9804,4609.7783,4682.9325,4720.6893,4698.0683,4627.9856,4706.3235,4620.4476,,254.6492,325.5445,119.2217,111.6892,159.3746,127.0189,130.2708,184.1374,172.3295,257.1800,326.5402,213.1404,177.8854,208.7940,196.6086,173.2258,277.6662,146.5636,135.4097,158.4406,82.1653,88.0449,69.1700,67.4734,71.7359,105.5036,78.3141,402.6202,826.0760,591.4419,479.5053,641.9722,525.6900,685.6849,930.4287,527.2564,884.0903,801.8312,729.6950,348.9988,443.0101,395.0299,481.2223,810.4656,
bco_prodShadow0_ada1,1.0300000000,1.0700000000,ð,,a,a,374.6612,371.6453,374.2327,384.1345,425.2932,455.9777,478.8530,502.2717,524.9444,1354.2983,1348.5699,1349.3782,1353.4403,1360.2006,1363.2207,1363.7124,1389.6378,1417.9064,2571.8713,2594.4199,2612.1927,2626.4195,2631.2011,2635.7133,2639.8847,2630.4813,2625.1775,3814.1404,3813.8334,3781.4495,3751.7422,3828.0491,3939.3336,4072.5575,3802.5090,3571.2983,5170.7970,4988.7338,4817.0620,4665.6096,4614.6875,4592.9287,,,,326.6118,322.1113,295.1112,258.8816,225.9718,186.5144,142.5597,136.2149,117.1952,100.1126,88.5034,89.3376,94.6539,94.1541,98.2251,106.0716,149.3395,182.1282,152.9551,158.9600,131.1951,92.6481,78.7231,64.7598,51.0805,67.7162,74.9408,741.4535,814.9965,887.0211,961.5948,1056.6820,943.7008,679.6629,821.4198,858.3547,1538.9907,1676.2285,1381.4434,955.4323,887.3384,858.2421,,,
bco_prodShadow0_ada1,1.0700000000,1.2256000000,a,,ð,boundary,642.2890,700.5142,768.5676,768.6215,772.1157,820.7215,803.9921,800.3935,802.6968,1452.7745,1446.3679,1443.6678,1423.5283,1409.4164,1427.2734,1454.8659,1466.0734,1493.4457,2677.2803,2688.7030,2549.7837,2517.0935,2571.8587,2569.4504,2523.9773,2513.0513,2517.6881,3735.5476,2740.4332,3136.9514,3129.9886,3443.3873,3331.8681,3300.3787,3465.3393,3539.9081,,4838.8800,4564.0839,4723.0782,4759.0573,4916.7384,4849.1078,4929.6120,4977.1697,102.0655,87.4495,97.3432,75.7962,141.3491,96.6685,123.6495,119.9373,131.3262,104.6323,123.6624,149.1584,102.2035,405.7689,202.3503,115.9470,124.4563,102.5041,60.2751,517.4466,184.8546,179.0142,248.9494,382.8648,219.5756,189.1532,353.6669,1272.5839,470.8822,1211.5680,575.9398,494.2060,705.6077,297.4209,417.8122,535.3554,,730.0237,530.7572,539.7424,561.2447,440.7271,639.5201,476.5907,607.7396
bco_prodShadow0_ada2,0.8941000000,1.0379000000,a,,boundary,ð,854.6660,822.4608,817.7600,796.4215,782.6144,776.6478,753.2981,717.3070,626.9727,1444.2078,1430.4052,1440.0511,1345.2751,1322.2046,1313.9788,1320.9972,1333.4801,1338.2967,2417.6029,2426.8395,2493.0532,2427.0293,2431.9221,2455.3919,2518.4966,2594.2392,2605.3800,3229.2483,3276.2991,3409.5412,3210.5797,3322.3897,3468.7641,3474.3105,3494.2835,3751.9785,4453.9910,4421.5886,4418.4428,4518.6213,4486.6274,4583.3007,4514.1760,4430.2264,4270.1003,213.9336,139.5917,133.5127,125.9033,100.0064,100.8198,68.8410,73.4936,144.5189,234.7969,264.3591,352.1241,144.7069,87.2954,80.1961,55.3882,76.4841,93.3689,218.6605,216.1661,226.8733,180.2879,237.5258,182.4433,214.6758,195.9471,141.0528,260.3869,530.2670,909.9730,353.4293,442.3981,623.5356,846.5169,1393.9428,2188.6432,200.9173,180.4666,197.0214,180.1371,204.4720,192.0595,207.8944,653.9835,876.0037
bco_prodShadow0_ada2,1.0379000000,1.1069000000,ð,,a,a,359.9006,429.3896,523.7418,236.0483,426.7978,1124.7493,863.3393,764.5664,639.7781,1259.5232,1295.0951,1308.2784,1113.6191,1289.1350,1507.1963,1538.0500,1516.0288,1432.3164,2572.1898,2602.4506,2803.9839,2697.6109,2545.1469,2853.2680,2874.0200,2728.7165,2579.4217,3928.0081,4007.5790,4114.7013,4092.3417,3825.2911,4081.5693,3924.8647,3769.2128,3852.9263,,,,,,,,4961.5453,4900.5191,419.7836,364.6259,540.4922,1067.8961,653.8769,474.7253,566.4821,606.7178,522.2452,180.0161,228.7794,666.6785,569.3461,907.4196,3313.5811,718.8577,516.6259,354.2534,299.1047,451.7619,632.4555,613.0995,476.9749,516.0266,508.6667,457.0342,170.5928,621.3655,565.5130,530.5182,887.5482,1084.0001,862.2134,840.1326,751.9086,579.7208,,,,,,,,856.0689,1655.2405
bco_prodShadow0_ada2,1.1069000000,1.2199000000,a,,ð,boundary,620.2061,691.3630,686.4737,718.1096,786.5288,757.7336,780.6742,773.6486,813.5877,1386.3497,1420.7346,1443.6899,1385.6982,1469.2075,1465.5757,1512.4565,1520.2028,1580.4837,2560.9926,2572.9519,2607.5393,2698.6402,2647.5137,2693.4575,2703.3836,2649.3848,2592.9674,3247.7808,3011.3250,3608.4770,3481.2396,3930.7217,4029.7250,3375.5903,3481.4068,3832.2987,4164.4299,4434.1453,4869.1752,4817.3350,4501.1811,4502.3146,4655.3768,4612.7079,4648.7026,128.3032,135.4513,81.5485,75.7498,157.3114,134.0452,350.1089,170.3216,344.6605,134.8321,151.6717,177.7149,124.5526,145.8052,90.3188,288.7739,235.6843,372.5301,52.3977,85.8454,62.8721,312.2214,156.8645,149.9024,266.3511,126.2076,121.0967,1293.3199,616.6436,650.6500,928.7961,615.2178,430.4100,948.4822,915.2523,805.5604,275.9190,539.3882,736.9447,669.9181,607.8940,1046.7570,593.5097,663.1932,746.2456
bco_prodShadow0_apa,1.1500000000,1.2819000000,a,,boundary,p,826.4087,864.3296,806.8701,820.1652,829.7943,852.1613,851.2664,820.9752,776.8570,1289.9216,1302.8840,1281.1394,1266.3559,1271.7103,1268.4033,1257.5876,1217.6109,1214.8963,2437.8777,2405.4980,2406.2577,2425.9757,2418.4447,2431.1525,2431.3472,2417.3110,2367.8889,3313.2836,3031.2234,3205.9906,2996.2182,3120.7384,3517.7572,3607.2342,3428.3914,3670.6960,4543.2669,4440.7372,4416.7246,4563.1526,4682.6567,4671.4927,4689.5519,4706.6553,4755.4502,169.0196,242.1250,98.5828,126.0107,132.5993,167.8518,181.4792,128.3888,97.0525,179.3051,243.6478,118.7649,156.4899,129.1807,144.4463,168.0252,138.1365,155.6759,99.4151,85.0176,73.7223,110.7689,85.2500,87.5172,63.9115,61.8752,98.7389,624.9916,806.1224,726.1664,814.9478,905.1999,1733.9086,1915.6888,478.4743,212.1894,440.3307,303.2097,345.7631,206.4452,284.4150,270.5442,287.0669,305.5959,613.9755
