"Timestamp","date","time","name","site","week","spanTotal","spanNat","spanNonNat","spanBetter","spanWorse","spanSame","engTotal","rateSpeak","rateUnderstand","rateOveral","extraCurParticipate","extraCurriculars","notes"
"6/29/2015 15:46:58",2015-06-29,15H 46M 58S,"ems","middlebury",0,0,0,0,0,0,0,100,4,7,5,"no","","first week"
"6/29/2015 16:09:30",2015-06-29,16H 9M 30S,"mav","middlebury",0,0,0,0,0,0,0,100,3,5,4,"no","","first week"
"6/29/2015 16:54:59",2015-06-29,16H 54M 59S,"jkw","middlebury",0,0,0,0,0,0,0,100,2,4,3,"no","","first week"
"6/30/2015 10:03:28",2015-06-30,10H 3M 28S,"mam","middlebury",0,0,0,0,0,0,0,100,1,6,3,"no","","first week"
"6/30/2015 10:21:28",2015-06-30,10H 21M 28S,"djv","middlebury",0,0,0,0,0,0,0,100,4,6,5,"no","","first week"
"6/30/2015 14:54:36",2015-06-30,14H 54M 36S,"blr","middlebury",0,0,0,0,0,0,0,100,3,4,3,"no","","first week"
"6/30/2015 15:13:59",2015-06-30,15H 13M 59S,"lmw","middlebury",0,0,0,0,0,0,0,100,1,1,1,"no","","first week"
"7/1/2015 10:07:01",2015-07-01,10H 7M 1S,"bco","middlebury",0,0,0,0,0,0,0,100,3,7,4,"no","","first week"
"7/1/2015 10:26:02",2015-07-01,10H 26M 2S,"jmt","middlebury",0,0,0,0,0,0,0,100,2,4,3,"no","","first week"
"7/2/2015 14:36:50",2015-07-02,14H 36M 50S,"jal","middlebury",0,0,0,0,0,0,0,100,4,5,4,"no","","first week"
"7/5/2015 14:02:00",2015-07-05,14H 2M 0S,"jal","middlebury",1,80,50,70,70,40,60,30,4,5,4,"yes","Salsa",""
"7/5/2015 14:23:13",2015-07-05,14H 23M 13S,"bco","middlebury",1,100,50,50,40,60,50,0,4,7,5,"yes","Tango, Coro",""
"7/5/2015 14:47:03",2015-07-05,14H 47M 3S,"jmt","middlebury",1,70,10,70,30,10,20,10,2,4,3,"yes","Futbol, Voleibol, Coro","Being forced to speak Spanish all the time was the best thing for improving my vocabulary because I was learning everything on a ""need to know basis"". I didn't get around to making note cards for practicing my Spanish until the end of the week and time needed for homework has taken me away from being able to practice my vocabulary more. However, all of my teachers and companeros have been extremely patient with me while I learn my new language. In order to get more out of the co-curriculars, it would have been really great to have a list of basic vocabulary of the activity before engaging in it. For example, ""fuera"" y ""el dentro"" for volleyball."
"7/5/2015 14:59:16",2015-07-05,14H 59M 16S,"mav","middlebury",1,100,50,90,90,20,70,50,3,6,5,"yes","Peliculas, Fiesta",""
"7/5/2015 15:19:32",2015-07-05,15H 19M 32S,"lmw","middlebury",1,100,20,80,90,10,0,0,2,2,2,"yes","Voleibol, Peliculas",""
"7/5/2015 15:42:40",2015-07-05,15H 42M 40S,"blr","middlebury",1,100,50,50,80,10,30,0,7,6,8,"yes","Tango, Coro, Peliculas",""
"7/5/2015 16:30:02",2015-07-05,16H 30M 2S,"djv","middlebury",1,100,50,50,70,10,20,0,4,6,5,"yes","Salsa, Futbol, Voleibol, Teatro, Peliculas, Fiesta","Me divierto la semana pasado!  Me cae bien los maestros y le comprendo mas y mas cada d<U+00ED>a."
"7/5/2015 20:29:13",2015-07-05,20H 29M 13S,"mam","middlebury",1,80,10,70,50,50,50,10,2,7,3,"no","",""
"7/5/2015 21:06:45",2015-07-05,21H 6M 45S,"ems","middlebury",1,90,90,20,90,20,40,0,6,7,6,"yes","Salsa, Teatro","it was a bit on the rough side"
"7/6/2015 15:03:25",2015-07-06,15H 3M 25S,"jkw","middlebury",1,90,40,50,50,10,30,10,4,7,6,"yes","Coro, Tango","This past week I have felt like my abilities speaking Spanish have improved because of the continual usage, but the material in class has been mostly review."
"7/12/2015 13:20:00",2015-07-12,13H 20M 0S,"jal","middlebury",2,60,40,60,60,20,70,30,4,6,5,"yes","Teatro",""
"7/12/2015 13:37:55",2015-07-12,13H 37M 55S,"bco","middlebury",2,100,50,50,40,60,50,0,5,7,6,"yes","Salsa, Coro",""
"7/12/2015 14:21:49",2015-07-12,14H 21M 49S,"mav","middlebury",2,90,50,100,70,70,80,10,5,7,5,"yes","Senderismo",""
"7/12/2015 14:42:55",2015-07-12,14H 42M 55S,"lmw","middlebury",2,100,10,90,100,0,0,0,1,1,1,"yes","Clinica de pronunciacion, Peliculas","nope"
"7/12/2015 15:02:01",2015-07-12,15H 2M 1S,"blr","middlebury",2,90,70,90,90,30,80,10,7,7,7,"yes","Clinica de pronunciacion, Senderismo, Coro, Tango, Club de principiantes","Me siento como mi dedicaci<U+00F3>n a la Palabra de Honor ""slipped"" demasiado frecuentemente, pero ahora he firmado la oficial Palabra de Honor, es hora ""to increase"" ese dedicaci<U+00F3>n y hacer ""five times"" mejor esta semana."
"7/12/2015 15:21:17",2015-07-12,15H 21M 17S,"ems","middlebury",2,90,20,80,70,30,40,0,6,7,6,"yes","Clinica de pronunciacion",""
"7/12/2015 15:45:59",2015-07-12,15H 45M 59S,"djv","middlebury",2,100,50,50,80,10,10,0,4,6,5,"yes","Salsa, Futbol, Voleibol, Teatro, Coro, Tango, Fiesta","Estoy aprendiendo mucho, pero hay es una lucha hablar con fluida todavia."
"7/12/2015 16:03:05",2015-07-12,16H 3M 5S,"mam","middlebury",2,70,20,50,70,10,30,30,3,7,4,"yes","Teatro",""
