cynthia_prodPicName_arbol,387.59,764.06,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
cynthia_prodPicName_arbol1,427.47,628.06,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
cynthia_prodPicName_arbol2,417.96,624.67,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
cynthia_prodPicName_bala,541.94,823.11,-45.92,-9.81,734.00,388.51,4.34,41.30,bala
cynthia_prodPicName_bala1,521.70,800.25,-97.26,-13.12,818.80,444.23,3.96,31.93,bala
cynthia_prodPicName_bala2,547.98,779.86,-113.63,-15.70,810.20,365.35,2.70,26.87,bala
cynthia_prodPicName_bola,504.46,789.07,10.90,-7.68,400.22,214.33,5.95,185.75,bola
cynthia_prodPicName_bola1,525.62,818.81,-101.54,-7.75,448.60,310.36,8.70,194.00,bola
cynthia_prodPicName_bola2,482.01,810.44,-129.80,-10.03,432.18,306.02,8.01,182.39,bola
cynthia_prodPicName_caca,617.14,791.34,25.06,-0.97,1702.03,1848.72,2.85,9.14,caca
cynthia_prodPicName_caca1,433.09,795.63,35.90,5.69,2015.10,1660.17,3.20,12.40,caca
cynthia_prodPicName_caca2,500.59,795.29,25.68,-1.81,2168.46,2179.19,2.46,5.44,caca
cynthia_prodPicName_coco,431.40,514.90,31.74,-4.66,1138.06,976.16,5.81,39.54,coco
cynthia_prodPicName_coco1,480.71,525.86,30.57,-3.46,1050.53,705.56,9.25,104.23,coco
cynthia_prodPicName_coco2,432.32,541.14,21.16,-10.97,1234.06,877.17,5.83,46.70,coco
cynthia_prodPicName_dado,445.42,643.38,-91.66,-11.80,722.16,569.48,4.27,31.09,dado
cynthia_prodPicName_dado1,417.27,692.18,-101.06,-7.78,683.45,585.27,4.45,29.24,dado
cynthia_prodPicName_dado2,445.31,677.84,-94.77,-9.96,713.43,463.91,4.02,31.44,dado
cynthia_prodPicName_dodo,444.72,600.30,-69.18,-11.60,504.51,442.90,8.24,97.43,dodo
cynthia_prodPicName_dodo1,432.98,615.73,-120.32,-9.57,594.18,590.29,5.07,35.22,dodo
cynthia_prodPicName_dodo2,544.40,891.08,-97.53,-17.99,561.78,680.74,4.94,28.28,dodo
cynthia_prodPicName_gato,276.05,737.41,-116.33,-6.99,1285.65,1608.31,2.89,10.74,gato
cynthia_prodPicName_gato1,537.42,827.15,-99.47,-1.18,1711.91,1921.85,2.47,7.20,gato
cynthia_prodPicName_gato2,384.88,605.82,-164.20,-1.90,2058.95,1615.27,2.51,8.87,gato
cynthia_prodPicName_gota,701.13,984.21,-101.48,-3.63,1084.95,680.81,8.06,79.57,gota
cynthia_prodPicName_gota1,486.54,791.00,-106.31,-5.88,1161.53,734.13,6.93,60.50,gota
