elisabi_prodPicName_arbol,393.69,549.16,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
elisabi_prodPicName_arbol1,361.34,560.81,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
elisabi_prodPicName_arbol2,413.01,618.70,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
elisabi_prodPicName_bala,442.19,734.90,-111.60,-7.17,640.17,298.59,4.72,76.15,bala
elisabi_prodPicName_bala1,385.57,772.86,-60.51,-4.05,547.24,291.32,4.62,64.55,bala
elisabi_prodPicName_bala2,478.40,772.64,-386.96,-4.91,479.71,324.47,2.60,29.79,bala
elisabi_prodPicName_bola,499.74,755.12,-189.52,-1.03,441.86,249.44,6.34,169.09,bola
elisabi_prodPicName_bola1,556.11,744.12,24.18,2.85,522.36,1241.03,5.00,29.58,bola
elisabi_prodPicName_bola2,491.63,765.43,-113.87,-2.99,451.60,206.66,7.00,208.90,bola
elisabi_prodPicName_caca,445.30,765.72,17.12,-2.86,1900.08,2633.47,1.97,2.86,caca
elisabi_prodPicName_caca1,476.18,766.89,24.86,0.71,1887.16,2288.97,2.32,4.74,caca
elisabi_prodPicName_caca2,477.01,785.83,19.76,-1.04,2524.20,2904.07,1.76,2.45,caca
elisabi_prodPicName_coco,376.93,589.89,31.17,-1.77,1837.02,2679.04,2.29,3.68,coco
elisabi_prodPicName_coco1,367.15,580.56,36.23,0.35,1600.72,2368.68,3.55,11.28,coco
elisabi_prodPicName_coco2,409.23,606.91,25.74,-4.92,1068.21,774.25,9.87,112.70,coco
elisabi_prodPicName_dado,422.21,651.14,-83.82,-5.61,301.02,353.81,12.99,273.17,dado
elisabi_prodPicName_dado1,365.98,672.35,-50.10,-0.45,378.75,400.16,7.43,122.32,dado
elisabi_prodPicName_dado2,421.98,631.34,-53.55,-0.49,429.48,776.73,8.00,81.35,dado
elisabi_prodPicName_dodo,423.34,628.08,-74.74,-4.77,568.79,1143.71,5.32,32.23,dodo
elisabi_prodPicName_dodo1,426.77,650.74,-85.85,-3.36,388.08,640.43,6.81,64.24,dodo
elisabi_prodPicName_dodo2,432.34,641.17,-66.14,-4.32,453.10,283.87,8.77,140.98,dodo
elisabi_prodPicName_gato,512.15,804.69,-64.58,1.21,1783.27,2259.70,2.33,4.42,gato
elisabi_prodPicName_gato1,352.53,705.21,-117.85,-3.90,489.71,906.55,7.71,68.39,gato
elisabi_prodPicName_gato2,399.80,704.13,13.16,0.83,347.55,342.41,16.35,339.58,gato
elisabi_prodPicName_gota,447.31,749.56,-112.48,-3.91,535.29,980.05,7.26,57.15,gota
elisabi_prodPicName_gota1,405.69,780.42,-117.06,0.39,1088.66,1182.31,6.15,42.04,gota
elisabi_prodPicName_gota2,463.43,773.28,-100.42,-13.77,1812.61,2542.85,2.42,4.55,gota
elisabi_prodPicName_lapiz,322.02,924.48,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_lapiz1,257.38,940.36,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_lapiz2,278.23,938.24,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_libro,393.46,621.76,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_libro1,447.52,571.45,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_libro2,425.56,629.73,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_manzana,356.56,808.42,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_manzana1,354.85,768.31,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_manzana2,348.46,857.19,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_mochila,327.02,764.20,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_mochila1,477.40,792.95,0,-13.77,1812.61,2542.85,2.42,4.55,diss
elisabi_prodPicName_mochila2,503.26,767.28,1.41,-4.88,3868.84,1214.04,1.08,3.55,diss
elisabi_prodPicName_palo,404.41,576.03,6.31,-11.25,633.64,357.53,1.87,29.04,palo
elisabi_prodPicName_palo1,420.74,674.89,5.80,-8.14,655.53,429.31,3.72,37.53,palo
elisabi_prodPicName_palo2,421.94,693.80,10.66,-3.96,585.67,284.11,3.74,76.10,palo
elisabi_prodPicName_polo,410.75,629.78,9.06,-2.49,351.84,903.27,6.35,54.17,polo
elisabi_prodPicName_polo1,417.80,600.83,9.52,-8.01,226.34,348.71,10.67,250.80,polo
elisabi_prodPicName_polo2,421.82,627.04,10.38,-7.96,311.26,167.32,11.06,471.24,polo
elisabi_prodPicName_silla,490.75,816.54,0,-7.96,311.26,167.32,11.06,471.24,diss
elisabi_prodPicName_silla1,371.85,905.08,-2.22,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_silla2,398.36,841.96,0,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_sol,400.03,713.03,0,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_sol1,411.41,747.08,0,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_sol2,342.34,800.00,0,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_sombrero,415.19,850.28,0,1.38,9283.93,2519.86,-1.58,3.13,diss
elisabi_prodPicName_sombrero1,401.95,820.94,3.97,-6.04,718.50,395.93,3.26,32.48,diss
elisabi_prodPicName_sombrero2,383.02,744.79,0,-6.04,718.50,395.93,3.26,32.48,diss
elisabi_prodPicName_taco,508.83,794.96,9.82,-8.98,563.66,367.29,5.24,79.39,taco
elisabi_prodPicName_taco1,536.41,705.33,3.43,-8.48,608.92,471.83,4.13,44.54,taco
elisabi_prodPicName_taco2,452.19,566.76,3.78,-10.95,666.91,307.12,6.66,123.77,taco
elisabi_prodPicName_topo,370.91,553.05,5.92,-13.54,552.19,336.85,9.08,151.01,topo
elisabi_prodPicName_topo1,343.90,573.65,14.24,-10.76,473.48,748.67,8.11,84.06,topo
elisabi_prodPicName_topo2,362.43,564.73,8.39,-8.20,433.08,243.31,9.68,221.21,topo
