blr_prodPicName_arbol,317.02,738.11,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
blr_prodPicName_arbol1,338.58,699.67,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
blr_prodPicName_arbol2,309.43,717.77,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
blr_prodPicName_bala,554.56,712.16,17.29,-10.60,242.57,357.30,10.33,268.68,bala
blr_prodPicName_bala1,491.26,696.21,25.47,-0.82,238.81,520.82,4.50,40.65,bala
blr_prodPicName_bala2,448.44,717.52,11.79,-11.59,348.84,219.38,4.79,108.72,bala
blr_prodPicName_bola,415.46,750.87,-14.95,-1.91,361.75,151.74,3.65,160.10,bola
blr_prodPicName_bola1,453.10,634.10,13.91,-5.02,227.48,193.34,8.26,372.57,bola
blr_prodPicName_bola2,463.50,698.32,15.59,-6.01,266.18,196.13,4.65,133.88,bola
blr_prodPicName_caca,465.59,716.27,28.67,-9.99,933.90,1247.21,2.87,12.12,caca
blr_prodPicName_caca1,453.32,742.33,35.09,-1.84,1411.68,1519.10,3.14,12.51,caca
blr_prodPicName_caca2,467.40,689.30,34.33,-0.81,1678.00,2365.97,1.86,2.71,caca
blr_prodPicName_coco,545.27,862.11,33.35,-8.69,1380.50,2023.20,3.00,10.05,coco
blr_prodPicName_coco1,383.80,565.00,33.79,-1.92,877.81,958.52,5.83,45.01,coco
blr_prodPicName_coco2,379.09,620.60,27.44,-8.09,976.95,420.82,5.25,98.40,coco
blr_prodPicName_dado,432.09,689.76,11.87,-10.38,586.70,636.26,3.45,18.24,dado
blr_prodPicName_dado1,373.26,596.07,12.30,-12.68,402.52,472.47,4.43,33.33,dado
blr_prodPicName_dado2,361.72,571.72,13.34,-8.15,348.92,405.27,5.41,46.08,dado
blr_prodPicName_dodo,412.57,671.49,17.71,-6.36,642.00,976.40,2.94,11.83,dodo
blr_prodPicName_dodo1,404.59,668.82,11.28,-9.90,410.22,364.57,6.87,76.21,dodo
