jkw_prodPicName_arbol,375.59,545.37,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jkw_prodPicName_arbol1,422.91,578.20,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jkw_prodPicName_arbol2,398.89,572.66,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jkw_prodPicName_bala,526.67,738.75,-84.57,-9.85,419.84,213.16,4.19,85.83,bala
jkw_prodPicName_bala1,540.01,747.88,-92.56,-11.46,647.43,271.92,1.53,26.13,bala
jkw_prodPicName_bala2,513.78,724.27,15.79,-1.54,556.38,326.21,1.02,9.29,bala
jkw_prodPicName_bola,635.16,752.92,-22.64,-13.76,518.90,209.22,5.86,138.07,bola
jkw_prodPicName_bola1,522.75,741.24,-93.66,-6.98,364.62,198.04,2.55,53.31,bola
jkw_prodPicName_bola2,463.20,697.51,21.43,1.44,299.25,360.28,5.69,83.25,bola
jkw_prodPicName_caca,496.43,779.45,50.98,1.04,1234.57,1594.31,2.47,8.82,caca
jkw_prodPicName_caca1,502.92,752.46,45.46,-2.33,1431.92,1597.07,3.12,13.28,caca
jkw_prodPicName_caca2,512.39,794.59,58.44,2.12,2191.07,1540.19,2.66,11.23,caca
jkw_prodPicName_coco,402.96,591.50,56.72,-0.82,977.39,834.93,3.59,30.98,coco
jkw_prodPicName_coco1,428.15,604.44,40.94,-8.42,1193.43,817.53,4.21,39.46,coco
jkw_prodPicName_coco2,434.51,664.33,48.56,0.23,1229.90,1054.72,4.34,29.10,coco
jkw_prodPicName_dado,421.29,632.78,-78.82,-13.01,445.56,225.84,10.88,317.91,dado
jkw_prodPicName_dado1,421.59,721.61,16.00,-7.02,584.69,1088.26,5.38,31.28,dado
jkw_prodPicName_dado2,411.98,621.09,14.26,-10.38,443.04,341.54,13.04,277.29,dado
jkw_prodPicName_dodo,215.19,636.78,-131.55,-11.42,366.62,438.97,10.16,141.72,dodo
jkw_prodPicName_dodo1,419.11,632.48,-119.80,-5.95,308.12,389.16,12.41,214.29,dodo
jkw_prodPicName_dodo2,415.80,667.20,16.10,-6.77,340.35,409.78,11.24,177.75,dodo
jkw_prodPicName_gato,435.31,626.48,-85.21,-7.01,1274.74,1488.90,2.21,8.22,gato
jkw_prodPicName_gato1,425.00,759.02,-45.85,-0.71,1116.60,1122.39,2.84,16.09,gato
jkw_prodPicName_gato2,407.29,735.79,-108.27,-7.32,324.35,372.65,10.39,178.19,gato
jkw_prodPicName_gota,477.21,807.31,-67.78,0.27,540.51,802.04,4.43,40.13,gota
jkw_prodPicName_gota1,507.67,723.69,-66.51,-1.04,1097.30,696.55,3.91,45.28,gota
jkw_prodPicName_gota2,510.45,799.43,17.59,-8.17,379.88,359.44,5.52,94.72,gota
jkw_prodPicName_lapiz,269.79,977.01,0.74,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_lapiz1,290.45,946.45,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_lapiz2,278.65,950.89,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_libro,413.79,596.94,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_libro1,430.85,746.25,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_libro2,431.77,661.41,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_manzana,512.86,555.18,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_manzana1,290.80,705.34,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_manzana2,297.14,751.33,0,-20.44,877.04,373.48,1.70,10.16,diss
jkw_prodPicName_mochila,530.21,785.97,40.56,7.62,93.35,276.85,11.47,382.27,diss
jkw_prodPicName_mochila1,381.07,775.70,0,7.62,93.35,276.85,11.47,382.27,diss
jkw_prodPicName_mochila2,274.96,856.18,4.24,-9.10,481.12,270.96,3.88,60.84,diss
jkw_prodPicName_palo,431.50,774.34,27.16,0.27,164.25,394.98,9.06,143.37,palo
jkw_prodPicName_palo1,442.34,678.99,14.06,-11.16,622.33,350.92,1.38,14.89,palo
jkw_prodPicName_palo2,431.04,684.53,42.14,10.70,112.20,336.43,14.13,270.27,palo
jkw_prodPicName_polo,417.70,615.74,41.70,0.04,72.19,170.14,14.82,430.05,polo
jkw_prodPicName_polo1,410.70,641.91,37.78,5.64,70.20,198.40,17.42,521.97,polo
jkw_prodPicName_polo2,405.68,626.24,37.72,1.49,70.22,174.70,15.42,525.05,polo
jkw_prodPicName_silla,585.35,809.77,0,1.49,70.22,174.70,15.42,525.05,diss
jkw_prodPicName_silla1,553.17,780.34,0.70,-9.02,384.18,590.05,6.51,51.22,diss
