jmt_prodPicName_arbol,412.28,562.28,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jmt_prodPicName_arbol1,436.41,568.99,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jmt_prodPicName_arbol2,385.18,712.98,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
jmt_prodPicName_bala,529.64,757.99,11.37,-5.99,938.06,458.18,2.38,8.12,bala
jmt_prodPicName_bala1,527.46,753.71,9.97,-10.71,807.17,440.71,4.33,25.94,bala
jmt_prodPicName_bala2,524.98,732.53,5.02,-16.19,952.56,473.06,2.96,11.49,bala
jmt_prodPicName_bola,531.15,725.82,9.58,-3.17,604.96,265.10,5.06,60.12,bola
jmt_prodPicName_bola1,505.65,718.88,-87.67,-0.40,519.53,241.89,5.39,95.56,bola
jmt_prodPicName_bola2,513.23,732.44,-89.81,-6.35,617.88,339.95,6.88,61.28,bola
jmt_prodPicName_caca,471.39,785.55,38.87,7.35,1809.49,1891.53,2.82,8.34,caca
jmt_prodPicName_caca1,457.45,623.30,37.37,-5.83,1933.70,1763.02,3.53,13.12,caca
jmt_prodPicName_caca2,509.27,752.09,39.48,0.91,2183.28,1959.05,2.94,8.52,caca
jmt_prodPicName_coco,395.35,545.34,44.44,3.36,753.84,583.60,9.47,134.01,coco
jmt_prodPicName_coco1,407.27,527.25,44.18,-3.60,932.74,889.97,7.36,57.07,coco
jmt_prodPicName_coco2,426.31,566.83,52.97,-0.28,813.58,718.86,8.49,93.56,coco
jmt_prodPicName_dado,433.35,650.02,-73.07,-2.57,601.60,626.43,7.37,81.01,dado
jmt_prodPicName_dado1,412.76,731.47,15.99,0.86,692.03,538.97,6.46,76.10,dado
jmt_prodPicName_dado2,381.76,745.48,12.75,-4.25,684.33,481.25,3.76,24.11,dado
jmt_prodPicName_dodo,411.06,608.54,16.06,-6.36,554.44,582.92,4.51,23.74,dodo
jmt_prodPicName_dodo1,406.86,666.32,-83.00,1.88,547.71,634.10,4.51,25.85,dodo
jmt_prodPicName_dodo2,402.06,661.34,-86.33,0.29,640.16,744.36,3.92,18.56,dodo
jmt_prodPicName_gato,433.09,664.55,-41.59,-2.41,3275.05,2848.69,1.00,-0.23,gato
jmt_prodPicName_gato1,420.76,646.99,23.44,-11.48,1661.21,1688.68,2.90,9.41,gato
jmt_prodPicName_gato2,433.74,651.07,24.07,-7.12,1687.44,1319.67,3.44,19.08,gato
jmt_prodPicName_gota,514.72,737.78,37.35,2.50,754.46,577.22,10.37,146.97,gota
jmt_prodPicName_gota1,475.81,745.26,35.35,5.34,784.41,575.73,11.00,151.79,gota
jmt_prodPicName_gota2,446.66,764.25,40.49,9.97,1030.17,1346.50,4.81,24.52,gota
jmt_prodPicName_lapiz,306.77,963.97,0,9.97,1030.17,1346.50,4.81,24.52,diss
jmt_prodPicName_lapiz1,279.95,945.27,0,9.97,1030.17,1346.50,4.81,24.52,diss
jmt_prodPicName_lapiz2,298.21,962.78,0,9.97,1030.17,1346.50,4.81,24.52,diss
jmt_prodPicName_libro,434.48,674.44,0,9.97,1030.17,1346.50,4.81,24.52,diss
jmt_prodPicName_libro1,424.28,735.35,0,9.97,1030.17,1346.50,4.81,24.52,diss
jmt_prodPicName_libro2,371.41,732.09,0,9.97,1030.17,1346.50,4.81,24.52,diss
