mav_prodPicName_arbol,390.95,560.12,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
mav_prodPicName_arbol1,417.11,599.41,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
mav_prodPicName_arbol2,358.65,560.56,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
mav_prodPicName_bala,535.69,792.86,12.09,-11.92,584.85,374.38,3.70,70.27,bala
mav_prodPicName_bala1,561.48,776.33,12.15,-10.81,523.05,439.52,2.81,37.35,bala
mav_prodPicName_bala2,526.00,809.84,14.15,-6.86,392.65,366.95,3.76,64.25,bala
mav_prodPicName_bola,587.08,794.47,12.89,-5.88,303.74,173.61,12.06,638.93,bola
mav_prodPicName_bola1,600.57,783.34,13.07,-9.89,310.53,154.15,4.81,263.46,bola
mav_prodPicName_bola2,699.70,822.11,17.11,-8.69,285.42,162.13,13.03,865.45,bola
mav_prodPicName_caca,602.83,783.73,47.93,-4.41,1290.23,1361.54,3.08,13.69,caca
mav_prodPicName_caca1,491.75,775.92,50.02,-4.25,1017.09,1927.68,3.04,9.37,caca
mav_prodPicName_caca2,479.67,723.58,67.44,-6.11,1591.29,2220.56,2.30,4.94,caca
mav_prodPicName_coco,367.11,613.40,35.77,-8.67,811.23,806.33,7.48,81.86,coco
mav_prodPicName_coco1,588.42,607.81,39.25,-7.73,710.59,736.07,6.59,74.48,coco
mav_prodPicName_coco2,446.86,786.73,57.23,-12.05,633.65,639.67,8.14,116.99,coco
mav_prodPicName_dado,369.58,585.85,14.31,-12.23,281.84,339.88,8.81,181.87,dado
mav_prodPicName_dado1,506.83,612.97,16.64,-11.04,177.27,342.25,17.64,441.03,dado
mav_prodPicName_dado2,402.70,608.95,19.65,0.81,394.18,850.49,8.24,81.13,dado
mav_prodPicName_dodo,744.39,888.05,11.52,-12.19,329.62,221.97,10.19,348.76,dodo
mav_prodPicName_dodo1,303.85,593.01,14.59,-7.99,363.84,350.00,13.16,284.59,dodo
mav_prodPicName_dodo2,345.45,555.54,12.48,-6.63,324.07,237.95,12.90,392.11,dodo
mav_prodPicName_gato,404.05,611.74,23.82,-7.84,1615.32,1480.67,2.36,9.51,gato
mav_prodPicName_gato1,577.81,661.58,19.80,-9.74,1918.98,2083.64,1.73,4.48,gato
mav_prodPicName_gato2,692.28,944.71,20.90,-14.09,1769.69,2247.52,1.81,2.99,gato
mav_prodPicName_gota,540.04,844.25,24.06,-13.75,933.87,394.08,7.83,186.03,gota
mav_prodPicName_gota1,520.78,795.63,18.23,-5.34,721.24,933.34,7.61,69.77,gota
mav_prodPicName_gota2,390.90,789.24,24.87,-7.44,796.96,866.79,7.51,74.97,gota
mav_prodPicName_lapiz,379.53,847.64,0,-7.44,796.96,866.79,7.51,74.97,diss
mav_prodPicName_lapiz1,377.63,830.22,0,-7.44,796.96,866.79,7.51,74.97,diss
