status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/silla.png,0,0,0,6,space,1.4515440464,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/bola.png,0,1,1,9,space,0.771152973175,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/arbol.png,0,2,2,2,space,0.81738781929,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/dado.png,0,3,3,12,space,1.00053501129,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/sol.png,0,4,4,1,space,0.734185934067,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gato.png,0,5,5,14,space,0.577425956726,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/lapiz.png,0,6,6,3,space,0.950740098953,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/caca.png,0,7,7,10,space,0.813426971436,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/libro.png,0,8,8,5,space,0.767549037933,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/topo.png,0,9,9,19,space,0.733645915985,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/palo.png,0,10,10,16,space,0.883755922318,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/bala.png,0,11,11,8,space,0.837442874908,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/coco.png,0,12,12,11,space,0.797894954681,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/dodo.png,0,13,13,13,space,1.21638298035,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/polo.png,0,14,14,17,space,0.914008140564,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gota.png,0,15,15,15,space,0.483969926834,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/taco.png,0,16,16,18,space,0.613891124725,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/mochila.png,0,17,17,7,space,0.846899032593,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/sombrero.png,0,18,18,0,space,0.883144140244,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/manzana.png,0,19,19,4,space,0.753773212433,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gota.png,1,0,20,15,space,0.64771604538,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/dado.png,1,1,21,12,space,0.717157125473,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/gato.png,1,2,22,14,space,0.636865139008,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/topo.png,1,3,23,19,space,0.667053937912,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/palo.png,1,4,24,16,space,0.617054224014,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/polo.png,1,5,25,17,space,0.587980985641,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
distractor,stim/libro.png,1,6,26,5,space,0.652909994125,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
target,stim/taco.png,1,7,27,18,space,0.701588869095,002,alexiabi,60.1438242333,prodShadow,2015_Dec_09_1400,tuc,
