status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
target,stim/palo.png,0,0,0,16,space,4.00101709366,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/coco.png,0,1,1,11,space,2.36633706093,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/caca.png,0,2,2,10,space,1.18380904198,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/gota.png,0,3,3,15,space,1.40092611313,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/polo.png,0,4,4,17,space,1.16637396812,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/lapiz.png,0,5,5,3,space,1.03423810005,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/bola.png,0,6,6,9,space,1.06796193123,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/manzana.png,0,7,7,4,space,1.06835913658,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/libro.png,0,8,8,5,space,0.901391029358,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/topo.png,0,9,9,19,space,18.1031529903,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/dado.png,0,10,10,12,space,0.66724395752,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/mochila.png,0,11,11,7,space,0.600812911987,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/taco.png,0,12,12,18,space,0.933964014053,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/sol.png,0,13,13,1,space,0.616737127304,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/dodo.png,0,14,14,13,space,1.13471198082,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/silla.png,0,15,15,6,space,0.801135063171,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/bala.png,0,16,16,8,space,0.817461013794,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/sombrero.png,0,17,17,0,space,1.81718707085,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/gato.png,0,18,18,14,space,0.634147167206,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/arbol.png,0,19,19,2,space,0.68467092514,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
target,stim/coco.png,1,0,20,11,space,0.917934894562,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/arbol.png,1,1,21,2,space,0.849979877472,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/manzana.png,1,2,22,4,space,0.734800100327,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/mochila.png,1,3,23,7,space,1.01786184311,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
distractor,stim/sombrero.png,1,4,24,0,space,0.867069005966,,,001,barbibi,60.0204060314,prodShadow,2016_Feb_12_1307,tuc,
