status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,stim/gato.png,0,0,0,14,space,0.963976860046,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/libro.png,0,1,1,5,space,0.617395877838,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bola.png,0,2,2,9,space,0.997497081757,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/mochila.png,0,3,3,7,space,0.84761095047,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sombrero.png,0,4,4,0,space,0.737316131592,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/lapiz.png,0,5,5,3,space,0.617351055145,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/arbol.png,0,6,6,2,space,0.764364957809,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/polo.png,0,7,7,17,space,0.483790159225,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/topo.png,0,8,8,19,space,1.43409204483,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dodo.png,0,9,9,13,space,3.40070700645,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/gota.png,0,10,10,15,space,0.767021894455,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sol.png,0,11,11,1,space,0.732987880707,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/silla.png,0,12,12,6,space,0.833582878113,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bala.png,0,13,13,8,space,3.06442713737,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/caca.png,0,14,14,10,space,0.964250087738,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/coco.png,0,15,15,11,space,1.05007100105,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/taco.png,0,16,16,18,space,0.783803939819,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/palo.png,0,17,17,16,space,1.06519198418,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dado.png,0,18,18,12,space,1.36720395088,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/manzana.png,0,19,19,4,space,0.897444963455,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/mochila.png,1,0,20,7,space,0.914196014404,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/silla.png,1,1,21,6,space,1.08042597771,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/arbol.png,1,2,22,2,space,0.770466089249,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/caca.png,1,3,23,10,space,0.797713041306,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/gato.png,1,4,24,14,space,0.883594989777,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/coco.png,1,5,25,11,space,0.897604942322,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/taco.png,1,6,26,18,space,0.818150997162,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/gota.png,1,7,27,15,space,0.886979818344,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/manzana.png,1,8,28,4,space,0.970279932022,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/topo.png,1,9,29,19,space,0.951070070267,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/lapiz.png,1,10,30,3,space,1.00046515465,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sol.png,1,11,31,1,space,0.733649969101,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/libro.png,1,12,32,5,space,0.737170934677,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dodo.png,1,13,33,13,space,1.73383688927,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bala.png,1,14,34,8,space,0.667275190353,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sombrero.png,1,15,35,0,space,0.917260885239,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/palo.png,1,16,36,16,space,1.05093717575,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bola.png,1,17,37,9,space,0.786664962769,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/polo.png,1,18,38,17,space,0.880037069321,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dado.png,1,19,39,12,space,0.750815868378,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/mochila.png,2,0,40,7,space,0.933392047882,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/lapiz.png,2,1,41,3,space,0.983743906021,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/caca.png,2,2,42,10,space,0.764029979706,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dodo.png,2,3,43,13,space,1.90123200417,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/libro.png,2,4,44,5,space,0.847357988358,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sol.png,2,5,45,1,space,0.834229946136,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/manzana.png,2,6,46,4,space,0.832414865494,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bala.png,2,7,47,8,space,1.08750104904,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/bola.png,2,8,48,9,space,0.8995449543,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/silla.png,2,9,49,6,space,0.96443605423,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/gato.png,2,10,50,14,space,0.86702299118,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/taco.png,2,11,51,18,space,0.850205898285,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/gota.png,2,12,52,15,space,1.11470913887,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/coco.png,2,13,53,11,space,0.897924184799,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/dado.png,2,14,54,12,space,1.2374329567,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/polo.png,2,15,55,17,space,1.04738283157,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/palo.png,2,16,56,16,space,1.01756620407,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
target,stim/topo.png,2,17,57,19,space,0.901033163071,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/sombrero.png,2,18,58,0,space,0.936738014221,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
distractor,stim/arbol.png,2,19,59,2,space,0.770117998123,001,cynthia,None,prodShadow,2016_Jan_24_1054,tuc,
