status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
target,stim/gota.png,0,0,0,15,space,2.20146298409,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/palo.png,0,1,1,16,space,1.03391599655,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dado.png,0,2,2,12,space,1.05036401749,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bola.png,0,3,3,9,space,1.53399896622,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/mochila.png,0,4,4,7,space,1.0473139286,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/polo.png,0,5,5,17,space,1.15036678314,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/lapiz.png,0,6,6,3,space,1.10079693794,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/caca.png,0,7,7,10,space,1.01733493805,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dodo.png,0,8,8,13,space,1.00027894974,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/silla.png,0,9,9,6,space,0.934298992157,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/coco.png,0,10,10,11,space,1.05043005943,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bala.png,0,11,11,8,space,0.917240142822,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/manzana.png,0,12,12,4,space,1.16736602783,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/taco.png,0,13,13,18,space,0.967306137085,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/topo.png,0,14,14,19,space,1.05042004585,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/sol.png,0,15,15,1,space,2.98429703712,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/sombrero.png,0,16,16,0,space,1.71998286247,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/arbol.png,0,17,17,2,space,0.783161878586,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/gato.png,0,18,18,14,space,0.800062894821,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/libro.png,0,19,19,5,space,0.880545139313,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/topo.png,1,0,20,19,space,0.79801607132,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dado.png,1,1,21,12,space,0.783861875534,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/sombrero.png,1,2,22,0,space,0.948606014252,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/mochila.png,1,3,23,7,space,0.950752019882,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/manzana.png,1,4,24,4,space,0.883893013,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/taco.png,1,5,25,18,space,0.884164094925,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/lapiz.png,1,6,26,3,space,1.01765680313,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bala.png,1,7,27,8,space,1.30072498322,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/coco.png,1,8,28,11,space,0.95937204361,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/polo.png,1,9,29,17,space,0.934405088425,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/silla.png,1,10,30,6,space,0.967470884323,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/bola.png,1,11,31,9,space,1.04736685753,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/libro.png,1,12,32,5,space,0.952813863754,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/gota.png,1,13,33,15,space,1.05072402954,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
distractor,stim/arbol.png,1,14,34,2,space,0.967450857162,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
target,stim/dodo.png,1,15,35,13,space,1.05051493645,001,eduardobi,59.940207046,prodShadow,2016_Jan_27_1749,tuc,
