status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/silla.png,0,0,0,6,space,1.08794403076,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/sol.png,0,1,1,1,space,0.571098804474,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/polo.png,0,2,2,17,space,0.671988964081,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/taco.png,0,3,3,18,space,0.434401988983,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/coco.png,0,4,4,11,space,0.503222942352,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/palo.png,0,5,5,16,space,0.634249925613,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/gato.png,0,6,6,14,space,0.5685338974,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/manzana.png,0,7,7,4,space,0.700809955597,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/gota.png,0,8,8,15,space,0.647767066956,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/arbol.png,0,9,9,2,space,0.701159000397,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/bola.png,0,10,10,9,space,1.76795291901,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/mochila.png,0,11,11,7,space,1.43363308907,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/caca.png,0,12,12,10,space,0.571619033813,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/libro.png,0,13,13,5,space,0.717828989029,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/dodo.png,0,14,14,13,space,4.9680390358,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/topo.png,0,15,15,19,space,0.650321006775,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/sombrero.png,0,16,16,0,space,0.719492912292,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/lapiz.png,0,17,17,3,space,0.716392993927,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/dado.png,0,18,18,12,space,0.784031867981,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/bala.png,0,19,19,8,space,0.584300994873,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/gota.png,1,0,20,15,space,0.700532913208,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/gato.png,1,1,21,14,space,0.484681844711,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/coco.png,1,2,22,11,space,0.416755914688,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/libro.png,1,3,23,5,space,0.484588861465,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/arbol.png,1,4,24,2,space,0.750347852707,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/lapiz.png,1,5,25,3,space,0.800464868546,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/taco.png,1,6,26,18,space,0.400024175644,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/dado.png,1,7,27,12,space,0.684178829193,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/polo.png,1,8,28,17,space,0.367780923843,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/sol.png,1,9,29,1,space,0.333709001541,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/bala.png,1,10,30,8,space,0.567795991898,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/mochila.png,1,11,31,7,space,0.384434938431,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/topo.png,1,12,32,19,space,1.0481698513,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/silla.png,1,13,33,6,space,0.501019001007,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/caca.png,1,14,34,10,space,0.351013898849,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/dodo.png,1,15,35,13,space,1.09777092934,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/sombrero.png,1,16,36,0,space,0.234608888626,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/palo.png,1,17,37,16,space,0.534305095673,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/bola.png,1,18,38,9,space,2.0672249794,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/manzana.png,1,19,39,4,space,0.584425926208,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/caca.png,2,0,40,10,space,0.163423061371,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
distractor,stim/lapiz.png,2,1,41,3,space,0.83100605011,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/gato.png,2,2,42,14,space,0.49697804451,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
target,stim/dado.png,2,3,43,12,space,0.781322956085,,,002,elisabi,60.0409405446,prodShadow,2015_Dec_03_1304,tuc,
