status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
target,stim/bola.png,0,0,0,9,space,2.78481698036,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/manzana.png,0,1,1,4,space,1.11671590805,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/libro.png,0,2,2,5,space,1.26420903206,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/caca.png,0,3,3,10,space,1.10053801537,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/bala.png,0,4,4,8,space,1.13777685165,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/dodo.png,0,5,5,13,space,1.06850409508,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/gato.png,0,6,6,14,space,0.950453042984,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/sombrero.png,0,7,7,0,space,1.91786289215,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/dado.png,0,8,8,12,space,1.20437002182,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/mochila.png,0,9,9,7,space,4.2519698143,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/taco.png,0,10,10,18,space,1.91802096367,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/lapiz.png,0,11,11,3,space,1.56783699989,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/polo.png,0,12,12,17,space,1.03340315819,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/gota.png,0,13,13,15,space,1.00172305107,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
target,stim/palo.png,0,14,14,16,space,1.08417105675,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
distractor,stim/silla.png,0,15,15,6,space,0.984961032867,,,001,gabibi,59.971832154,prodShadow,2016_Feb_18_1256,tuc,
