status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/mochila.png,0,0,0,7,space,1.96773505211,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/manzana.png,0,1,1,4,space,1.4508728981,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/polo.png,0,2,2,17,space,1.22169995308,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/topo.png,0,3,3,19,space,0.83414888382,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/arbol.png,0,4,4,2,space,0.636765956879,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/taco.png,0,5,5,18,space,0.417052984238,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/caca.png,0,6,6,10,space,1.43425798416,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/bola.png,0,7,7,9,space,1.86703085899,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/gato.png,0,8,8,14,space,1.31780600548,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/lapiz.png,0,9,9,3,space,1.19704794884,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/dodo.png,0,10,10,13,space,1.16780185699,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/sol.png,0,11,11,1,space,0.818168878555,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/libro.png,0,12,12,5,space,1.3179090023,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/silla.png,0,13,13,6,space,0.867560863495,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/palo.png,0,14,14,16,space,1.01700997353,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/coco.png,0,15,15,11,space,1.18732714653,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/gota.png,0,16,16,15,space,0.930836200714,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/dado.png,0,17,17,12,space,0.763803005219,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/sombrero.png,0,18,18,0,space,1.95002198219,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/bala.png,0,19,19,8,space,1.26749801636,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/bola.png,1,0,20,9,space,1.28393292427,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/coco.png,1,1,21,11,space,0.784174919128,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/sombrero.png,1,2,22,0,space,0.983067989349,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/taco.png,1,3,23,18,space,1.18137311935,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/polo.png,1,4,24,17,space,0.916697025299,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/manzana.png,1,5,25,4,space,1.86810922623,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/dado.png,1,6,26,12,space,1.13423109055,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/topo.png,1,7,27,19,space,0.750070095062,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/palo.png,1,8,28,16,space,1.08389306068,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/silla.png,1,9,29,6,space,0.800359964371,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/bala.png,1,10,30,8,space,0.950552940369,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/gota.png,1,11,31,15,space,1.10051488876,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/arbol.png,1,12,32,2,space,0.749793052673,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/sol.png,1,13,33,1,space,0.63387799263,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/caca.png,1,14,34,10,space,1.18438887596,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/mochila.png,1,15,35,7,space,1.11730909348,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/lapiz.png,1,16,36,3,space,1.81410598755,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/dodo.png,1,17,37,13,space,2.26700401306,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
distractor,stim/libro.png,1,18,38,5,space,0.601024150848,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/gato.png,1,19,39,14,space,0.734300851822,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
target,stim/taco.png,2,0,40,18,space,0.620830059052,,,002,irvingbi,59.9552869469,prodShadow,2016_Jan_29_1010,tuc,
