status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
target,stim/gato.png,0,0,0,14,space,1.58444094658,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/sol.png,0,1,1,1,space,1.01626491547,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/gota.png,0,2,2,15,space,0.983146905899,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/polo.png,0,3,3,17,space,1.050593853,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/sombrero.png,0,4,4,0,space,1.96761488914,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/palo.png,0,5,5,16,space,1.36740589142,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/topo.png,0,6,6,19,space,0.88326215744,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/mochila.png,0,7,7,7,space,1.08079695702,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/taco.png,0,8,8,18,space,0.967428922653,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/dado.png,0,9,9,12,space,1.32111501694,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/arbol.png,0,10,10,2,space,1.01971793175,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/caca.png,0,11,11,10,space,1.13786697388,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/manzana.png,0,12,12,4,space,0.950197935104,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/bala.png,0,13,13,8,space,1.21757817268,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/silla.png,0,14,14,6,space,1.11758208275,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/dodo.png,0,15,15,13,space,2.03364682198,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
target,stim/bola.png,0,16,16,9,space,1.81763792038,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/lapiz.png,0,17,17,3,space,0.984133005142,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
distractor,stim/libro.png,0,18,18,5,space,1.18385505676,,,001,luciabi,60.0860110307,prodShadow,2015_Dec_03_1405,tuc,
