status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/manzana.png,0,0,0,4,space,1.08094000816,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/dodo.png,0,1,1,13,space,2.1668150425,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/caca.png,0,2,2,10,space,0.613990068436,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/taco.png,0,3,3,18,space,0.783739089966,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/sol.png,0,4,4,1,space,0.917191028595,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/silla.png,0,5,5,6,space,0.600437879562,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/topo.png,0,6,6,19,space,1.58408880234,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/gato.png,0,7,7,14,space,2.31690597534,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/sombrero.png,0,8,8,0,space,2.14754319191,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/bola.png,0,9,9,9,space,0.832238912582,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/gota.png,0,10,10,15,space,0.850536108017,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/lapiz.png,0,11,11,3,space,0.800323009491,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/arbol.png,0,12,12,2,space,1.6373758316,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/libro.png,0,13,13,5,space,2.11691403389,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/dado.png,0,14,14,12,space,1.08378195763,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/palo.png,0,15,15,16,space,1.0534658432,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/coco.png,0,16,16,11,space,0.933332920074,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
distractor,stim/mochila.png,0,17,17,7,space,0.967533111572,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
target,stim/bala.png,0,18,18,8,space,1.06741595268,001,stacybi,60.1210647853,prodShadow,2015_Dec_10_1414,tuc,
