status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
target,stim/bola.png,0,0,0,9,space,2.5007789135,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/sombrero.png,0,1,1,0,space,1.36693000793,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/manzana.png,0,2,2,4,space,1.1509270668,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/mochila.png,0,3,3,7,space,1.21772384644,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/caca.png,0,4,4,10,space,0.850605010986,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/gota.png,0,5,5,15,space,1.93384408951,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/silla.png,0,6,6,6,space,0.933793067932,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/arbol.png,0,7,7,2,space,1.08409690857,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/taco.png,0,8,8,18,space,0.850614070892,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/gato.png,0,9,9,14,space,1.05052995682,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/dado.png,0,10,10,12,space,3.23424696922,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/sol.png,0,11,11,1,space,1.1339700222,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/lapiz.png,0,12,12,3,space,1.2170920372,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/palo.png,0,13,13,16,space,1.16725611687,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/dodo.png,0,14,14,13,space,1.15052700043,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/bala.png,0,15,15,8,space,1.26750278473,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/polo.png,0,16,16,17,space,1.25105595589,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
distractor,stim/libro.png,0,17,17,5,space,1.2340669632,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/coco.png,0,18,18,11,space,1.11759805679,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
target,stim/topo.png,0,19,19,19,space,1.71747779846,,,001,bco,59.9750908355,prodShadow,2015_Aug_11_1621,midd,
