status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
distractor,stim/libro.png,0,0,0,5,space,1.20055103302,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dado.png,0,1,1,12,space,2.53440713882,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/lapiz.png,0,2,2,3,space,0.884172916412,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/arbol.png,0,3,3,2,space,0.86719584465,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/silla.png,0,4,4,6,space,0.900972127914,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/taco.png,0,5,5,18,space,0.834327936172,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/manzana.png,0,6,6,4,space,0.933614015579,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/caca.png,0,7,7,10,space,0.78373503685,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/topo.png,0,8,8,19,space,2.90082907677,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dodo.png,0,9,9,13,space,2.68498778343,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bala.png,0,10,10,8,space,3.21742892265,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/mochila.png,0,11,11,7,space,1.20075702667,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/palo.png,0,12,12,16,space,3.03443598747,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gato.png,0,13,13,14,space,0.967251062393,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sombrero.png,0,14,14,0,space,0.900490999222,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sol.png,0,15,15,1,space,0.867272138596,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/coco.png,0,16,16,11,space,1.50107097626,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gota.png,0,17,17,15,space,4.7178068161,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/polo.png,0,18,18,17,space,0.900473833084,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bola.png,0,19,19,9,space,2.60106515884,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/lapiz.png,1,0,20,3,space,0.984091043472,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/manzana.png,1,1,21,4,space,0.917254924774,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/palo.png,1,2,22,16,space,3.56766581535,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sol.png,1,3,23,1,space,0.66708779335,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dado.png,1,4,24,12,space,1.16763305664,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/libro.png,1,5,25,5,space,1.03392004967,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/taco.png,1,6,26,18,space,0.833801984787,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/coco.png,1,7,27,11,space,0.700839996338,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bola.png,1,8,28,9,space,0.900465011597,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/topo.png,1,9,29,19,space,3.91856098175,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/silla.png,1,10,30,6,space,1.03426098824,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/polo.png,1,11,31,17,space,0.801730155945,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gato.png,1,12,32,14,space,0.817443847656,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/arbol.png,1,13,33,2,space,0.800807952881,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gota.png,1,14,34,15,space,5.38454294205,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dodo.png,1,15,35,13,space,1.25027990341,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/mochila.png,1,16,36,7,space,0.63357591629,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bala.png,1,17,37,8,space,3.31744790077,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/caca.png,1,18,38,10,space,0.900835037231,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sombrero.png,1,19,39,0,space,1.13403701782,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/caca.png,2,0,40,10,space,0.783789157867,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sol.png,2,1,41,1,space,0.733721971512,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/mochila.png,2,2,42,7,space,0.884145021439,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bala.png,2,3,43,8,space,2.80073595047,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dado.png,2,4,44,12,space,1.06700015068,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gato.png,2,5,45,14,space,0.934333086014,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/libro.png,2,6,46,5,space,1.10080099106,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/taco.png,2,7,47,18,space,0.950762033463,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/lapiz.png,2,8,48,3,space,0.850461006165,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/palo.png,2,9,49,16,space,3.33425593376,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/polo.png,2,10,50,17,space,1.03298902512,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/sombrero.png,2,11,51,0,space,1.06751799583,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/bola.png,2,12,52,9,space,1.01736092567,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/topo.png,2,13,53,19,space,3.36781191826,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/arbol.png,2,14,54,2,space,0.934293985367,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/gota.png,2,15,55,15,space,2.81736898422,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/coco.png,2,16,56,11,space,0.800628185272,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
target,stim/dodo.png,2,17,57,13,space,0.983896970749,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/manzana.png,2,18,58,4,space,0.967356920242,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
distractor,stim/silla.png,2,19,59,6,space,0.933733940125,,,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
,,,,,,,,space,8.41738891602,001,jal,60.044206741,prodShadow,2015_Aug_11_1353,midd,
