status,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
target,stim/gato.png,0,0,0,14,space,0.717600107193,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/sol.png,0,1,1,1,space,0.617365121841,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/mochila.png,0,2,2,7,space,0.933660984039,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/libro.png,0,3,3,5,space,0.667188167572,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/palo.png,0,4,4,16,space,0.88422703743,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/bala.png,0,5,5,8,space,0.984152078629,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/dodo.png,0,6,6,13,space,0.700325012207,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/lapiz.png,0,7,7,3,space,1.06719493866,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/silla.png,0,8,8,6,space,0.683840990067,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/bola.png,0,9,9,9,space,0.934376955032,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/arbol.png,0,10,10,2,space,0.783863067627,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/coco.png,0,11,11,11,space,0.717539072037,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/caca.png,0,12,12,10,space,0.817195892334,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/polo.png,0,13,13,17,space,0.651202917099,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/gota.png,0,14,14,15,space,2.83436012268,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
target,stim/taco.png,0,15,15,18,space,0.834115028381,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
distractor,stim/manzana.png,0,16,16,4,space,1.73390388489,,,001,mam,60.0694888019,prodShadow,2015_Aug_11_1532,midd,
