status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.33441305161,,,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,peke,stim/peke.wav,0,0,0,37,,,space,8.31917905807,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
pname,caca,stim/caca.wav,0,1,1,9,,,space,2.48405790329,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,kaka,stim/kaka.wav,0,2,2,28,,,space,1.76413488388,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,buku,stim/buku.wav,0,3,3,8,,,space,1.50109696388,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,diki,stim/diki.wav,0,4,4,14,,,space,1.00090193748,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
distractor,apa,stim/apa.wav,0,5,5,1,,,space,0.867297887802,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,duku,stim/duku.wav,0,6,6,17,,,space,1.03439211845,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
distractor,oba,stim/oba.wav,0,7,7,33,,,space,1.10107684135,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,beke,stim/beke.wav,0,8,8,4,,,space,0.784024953842,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,toko,stim/toko.wav,0,9,9,47,,,space,1.0306429863,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,biki,stim/biki.wav,0,10,10,5,,,space,0.786974906921,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
target,keke,stim/keke.wav,0,11,11,29,,,space,0.796817064285,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
distractor,ada,stim/ada.wav,0,12,12,0,,,space,0.900628089905,,,001,alexiabi,59.9703744374,prodShadow,2015_Dec_03_1349,tuc,
