status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.14773702621,,,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,dado,stim/dado.wav,0,0,0,11,,,space,6.48479294777,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,taco,stim/taco.wav,0,1,1,42,,,space,4.71757888794,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,gato,stim/gato.wav,0,2,2,21,,,space,2.08020687103,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,biki,stim/biki.wav,0,3,3,5,,,space,1.55379605293,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,kiki,stim/kiki.wav,0,4,4,30,,,space,0.918102025986,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,beke,stim/beke.wav,0,5,5,4,,,space,1.73422598839,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,kaka,stim/kaka.wav,0,6,6,28,,,space,1.20098400116,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,duku,stim/duku.wav,0,7,7,17,,,space,1.16746997833,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,baka,stim/baka.wav,0,8,8,2,,,space,0.917588949203,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,ita,stim/ita.wav,0,9,9,27,,,space,1.18061184883,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,poko,stim/poko.wav,0,10,10,39,,,space,1.29820513725,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,giki,stim/giki.wav,0,11,11,23,,,space,1.03350806236,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,kuku,stim/kuku.wav,0,12,12,32,,,space,1.1175031662,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,piki,stim/piki.wav,0,13,13,38,,,space,1.56728816032,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,bala,stim/bala.wav,0,14,14,3,,,space,0.93390583992,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,epa,stim/epa.wav,0,15,15,19,,,space,1.0700340271,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,taka,stim/taka.wav,0,16,16,43,,,space,1.17107796669,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,polo,stim/polo.wav,0,17,17,40,,,space,1.03407096863,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,keke,stim/keke.wav,0,18,18,29,,,space,1.18029999733,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,goko,stim/goko.wav,0,19,19,24,,,space,0.96744799614,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,tiki,stim/tiki.wav,0,20,20,45,,,space,1.08108687401,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,puku,stim/puku.wav,0,21,21,41,,,space,0.853385925293,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,uta,stim/uta.wav,0,22,22,49,,,space,1.00141310692,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,apa,stim/apa.wav,0,23,23,1,,,space,1.06722712517,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,diki,stim/diki.wav,0,24,24,14,,,space,0.981297016144,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,caca,stim/caca.wav,0,25,25,9,,,space,0.950436115265,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,palo,stim/palo.wav,0,26,26,36,,,space,0.967019081116,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,eda,stim/eda.wav,0,27,27,18,,,space,1.41777515411,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,toko,stim/toko.wav,0,28,28,47,,,space,1.03293299675,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,boko,stim/boko.wav,0,29,29,6,,,space,0.781253814697,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,oka,stim/oka.wav,0,30,30,34,,,space,1.07113003731,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
distractor,oba,stim/oba.wav,0,31,31,33,,,space,1.12007594109,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,geke,stim/geke.wav,0,32,32,22,,,space,1.2342569828,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,coco,stim/coco.wav,0,33,33,10,,,space,0.933731079102,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,gaka,stim/gaka.wav,0,34,34,20,,,space,1.09759092331,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,paka,stim/paka.wav,0,35,35,35,,,space,0.867233991623,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,deke,stim/deke.wav,0,36,36,13,,,space,1.0342168808,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,dodo,stim/dodo.wav,0,37,37,15,,,space,1.23412513733,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,guku,stim/guku.wav,0,38,38,26,,,space,0.970102071762,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,peke,stim/peke.wav,0,39,39,37,,,space,0.797835826874,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,topo,stim/topo.wav,0,40,40,46,,,space,0.704144001007,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,daka,stim/daka.wav,0,41,41,12,,,space,0.870136022568,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,bola,stim/bola.wav,0,42,42,7,,,space,1.03694200516,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,doko,stim/doko.wav,0,43,43,16,,,space,0.93105006218,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,tuku,stim/tuku.wav,0,44,44,48,,,space,0.601016044617,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,koko,stim/koko.wav,0,45,45,31,,,space,1.16751790047,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
pname,gota,stim/gota.wav,0,46,46,25,,,space,0.817023992538,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
target,buku,stim/buku.wav,0,47,47,8,,,space,1.10426402092,,,001,barbibi,58.6909809387,prodShadow,2016_Feb_09_1524,tuc,
