status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,4.38075304031,,,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,paka,stim/paka.wav,0,0,0,35,,,space,3.03431200981,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,tiki,stim/tiki.wav,0,1,1,45,,,space,1.90411114693,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,giki,stim/giki.wav,0,2,2,23,,,space,1.80048179626,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kuku,stim/kuku.wav,0,3,3,32,,,space,2.20079994202,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,eda,stim/eda.wav,0,4,4,18,,,space,2.08421897888,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,bala,stim/bala.wav,0,5,5,3,,,space,1.63229107857,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,toko,stim/toko.wav,0,6,6,47,,,space,1.46369194984,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,ada,stim/ada.wav,0,7,7,0,,,space,2.03066182137,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,gato,stim/gato.wav,0,8,8,21,,,space,2.85103106499,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,koko,stim/koko.wav,0,9,9,31,,,space,0.933835983276,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,polo,stim/polo.wav,0,10,10,40,,,space,1.01691889763,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,goko,stim/goko.wav,0,11,11,24,,,space,1.36719799042,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kaka,stim/kaka.wav,0,12,12,28,,,space,1.03401303291,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,keke,stim/keke.wav,0,13,13,29,,,space,1.4837539196,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,ita,stim/ita.wav,0,14,14,27,,,space,1.06744599342,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,taka,stim/taka.wav,0,15,15,43,,,space,1.65099596977,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,coco,stim/coco.wav,0,16,16,10,,,space,1.38405489922,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,epa,stim/epa.wav,0,17,17,19,,,space,1.18386387825,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,bola,stim/bola.wav,0,18,18,7,,,space,1.53415393829,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,dado,stim/dado.wav,0,19,19,11,,,space,1.00348997116,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,caca,stim/caca.wav,0,20,20,9,,,space,1.60101985931,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,oba,stim/oba.wav,0,21,21,33,,,space,1.36739087105,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,daka,stim/daka.wav,0,22,22,12,,,space,2.11381411552,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,piki,stim/piki.wav,0,23,23,38,,,space,1.73395800591,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,poko,stim/poko.wav,0,24,24,39,,,space,1.53415489197,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,uta,stim/uta.wav,0,25,25,49,,,space,1.11768102646,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,buku,stim/buku.wav,0,26,26,8,,,space,1.45419812202,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,taco,stim/taco.wav,0,27,27,42,,,space,1.55058908463,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,gota,stim/gota.wav,0,28,28,25,,,space,1.38771891594,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,puku,stim/puku.wav,0,29,29,41,,,space,1.26753306389,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,guku,stim/guku.wav,0,30,30,26,,,space,1.30055880547,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,deke,stim/deke.wav,0,31,31,13,,,space,0.950673818588,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,gaka,stim/gaka.wav,0,32,32,20,,,space,1.2005469799,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,biki,stim/biki.wav,0,33,33,5,,,space,0.98438000679,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,baka,stim/baka.wav,0,34,34,2,,,space,1.500674963,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,topo,stim/topo.wav,0,35,35,46,,,space,1.20014095306,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,duku,stim/duku.wav,0,36,36,17,,,space,1.13380599022,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,diki,stim/diki.wav,0,37,37,14,,,space,0.95100402832,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,dodo,stim/dodo.wav,0,38,38,15,,,space,1.02080512047,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,apa,stim/apa.wav,0,39,39,1,,,space,1.0508658886,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,palo,stim/palo.wav,0,40,40,36,,,space,0.850628852844,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kiki,stim/kiki.wav,0,41,41,30,,,space,1.26724481583,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,beke,stim/beke.wav,0,42,42,4,,,space,0.853791952133,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,tuku,stim/tuku.wav,0,43,43,48,,,space,1.0006070137,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,peke,stim/peke.wav,0,44,44,37,,,space,0.900933980942,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,doko,stim/doko.wav,0,45,45,16,,,space,1.86767601967,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,oka,stim/oka.wav,0,46,46,34,,,space,0.804295063019,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,teke,stim/teke.wav,0,47,47,44,,,space,1.18400907516,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,boko,stim/boko.wav,0,48,48,6,,,space,1.08435797691,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,geke,stim/geke.wav,0,49,49,22,,,space,1.83399796486,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kuku,stim/kuku.wav,1,0,50,32,,,space,1.20068597794,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,taco,stim/taco.wav,1,1,51,42,,,space,0.833686113358,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,koko,stim/koko.wav,1,2,52,31,,,space,0.967810153961,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,taka,stim/taka.wav,1,3,53,43,,,space,0.50065612793,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kiki,stim/kiki.wav,1,4,54,30,,,space,1.25094294548,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,diki,stim/diki.wav,1,5,55,14,,,space,0.984130859375,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,uta,stim/uta.wav,1,6,56,49,,,space,0.637567996979,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,goko,stim/goko.wav,1,7,57,24,,,space,0.997091054916,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,oka,stim/oka.wav,1,8,58,34,,,space,0.550692081451,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,coco,stim/coco.wav,1,9,59,10,,,space,1.11388611794,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,kaka,stim/kaka.wav,1,10,60,28,,,space,1.23394417763,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,daka,stim/daka.wav,1,11,61,12,,,space,0.520542860031,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,poko,stim/poko.wav,1,12,62,39,,,space,0.767452955246,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
pname,topo,stim/topo.wav,1,13,63,46,,,space,0.316998004913,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,deke,stim/deke.wav,1,14,64,13,,,space,1.13415312767,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,buku,stim/buku.wav,1,15,65,8,,,space,0.770718097687,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,piki,stim/piki.wav,1,16,66,38,,,space,0.570670127869,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
distractor,epa,stim/epa.wav,1,17,67,19,,,space,0.617228984833,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
target,beke,stim/beke.wav,1,18,68,4,,,space,0.700184106827,,,001,elisaBi,59.964630009,prodShadow,2015_Dec_02_1208,tuc,
