status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,10.8182249069,,,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,poko,stim/poko.wav,0,0,0,39,,,space,8.53835916519,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,apa,stim/apa.wav,0,1,1,1,,,space,1.86764001846,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,geke,stim/geke.wav,0,2,2,22,,,space,1.90097999573,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,goko,stim/goko.wav,0,3,3,24,,,space,1.68383717537,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,peke,stim/peke.wav,0,4,4,37,,,space,1.66761207581,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,keke,stim/keke.wav,0,5,5,29,,,space,1.83503913879,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,gota,stim/gota.wav,0,6,6,25,,,space,1.85106301308,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,paka,stim/paka.wav,0,7,7,35,,,space,1.68061494827,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,epa,stim/epa.wav,0,8,8,19,,,space,1.83110904694,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,dodo,stim/dodo.wav,0,9,9,15,,,space,1.76808619499,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,taco,stim/taco.wav,0,10,10,42,,,space,1.61707687378,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,ada,stim/ada.wav,0,11,11,0,,,space,1.78490710258,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,boko,stim/boko.wav,0,12,12,6,,,space,1.65375804901,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,coco,stim/coco.wav,0,13,13,10,,,space,1.8815882206,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,topo,stim/topo.wav,0,14,14,46,,,space,1.98424005508,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,kuku,stim/kuku.wav,0,15,15,32,,,space,1.73088502884,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,eda,stim/eda.wav,0,16,16,18,,,space,1.86768198013,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,oba,stim/oba.wav,0,17,17,33,,,space,1.6343960762,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,piki,stim/piki.wav,0,18,18,38,,,space,1.70107984543,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,gato,stim/gato.wav,0,19,19,21,,,space,1.56771802902,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,kaka,stim/kaka.wav,0,20,20,28,,,space,1.8002550602,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,ita,stim/ita.wav,0,21,21,27,,,space,1.52069211006,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
target,teke,stim/teke.wav,0,22,22,44,,,space,1.55402803421,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
distractor,uta,stim/uta.wav,0,23,23,49,,,space,1.58315896988,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
pname,bola,stim/bola.wav,0,24,24,7,,,space,1.41406297684,,,001,gabibi,60.9399826812,prodShadow,2016_Feb_16_1322,tuc,
