status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,5.76444506645,,,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,taka,stim/taka.wav,0,0,0,43,,,space,6.85175204277,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,poko,stim/poko.wav,0,1,1,39,,,space,4.39824795723,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,giki,stim/giki.wav,0,2,2,23,,,space,2.03405094147,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
pname,palo,stim/palo.wav,0,3,3,36,,,space,1.80096697807,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,duku,stim/duku.wav,0,4,4,17,,,space,1.8212389946,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,koko,stim/koko.wav,0,5,5,31,,,space,1.77006721497,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,kaka,stim/kaka.wav,0,6,6,28,,,space,1.83394598961,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,gaka,stim/gaka.wav,0,7,7,20,,,space,1.56762695312,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,paka,stim/paka.wav,0,8,8,35,,,space,1.38445305824,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,tiki,stim/tiki.wav,0,9,9,45,,,space,0.517857074738,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
distractor,oba,stim/oba.wav,0,10,10,33,,,space,2.60076904297,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,puku,stim/puku.wav,0,11,11,41,,,space,1.11725616455,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,deke,stim/deke.wav,0,12,12,13,,,space,1.08453011513,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
distractor,oka,stim/oka.wav,0,13,13,34,,,space,1.21754598618,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
pname,coco,stim/coco.wav,0,14,14,10,,,space,1.13401508331,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,daka,stim/daka.wav,0,15,15,12,,,space,1.33393001556,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
distractor,epa,stim/epa.wav,0,16,16,19,,,space,1.08405804634,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
pname,polo,stim/polo.wav,0,17,17,40,,,space,1.03459095955,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,tuku,stim/tuku.wav,0,18,18,48,,,space,1.55148005486,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,toko,stim/toko.wav,0,19,19,47,,,space,0.804328918457,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
distractor,ada,stim/ada.wav,0,20,20,0,,,space,1.11750102043,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
target,biki,stim/biki.wav,0,21,21,5,,,space,0.921602964401,,,001,irvingbi,60.1004754385,prodShadow,2016_Jan_27_1731,tuc,
