status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,7.71801590919,,,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,bala,stim/bala.wav,0,0,0,3,,,space,3.07169294357,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,uta,stim/uta.wav,0,1,1,49,,,space,1.71741604805,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tiki,stim/tiki.wav,0,2,2,45,,,space,1.230479002,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dado,stim/dado.wav,0,3,3,11,,,space,1.05064797401,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dodo,stim/dodo.wav,0,4,4,15,,,space,1.31753516197,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oba,stim/oba.wav,0,5,5,33,,,space,1.28414988518,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,puku,stim/puku.wav,0,6,6,41,,,space,1.63420605659,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,koko,stim/koko.wav,0,7,7,31,,,space,1.38411307335,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,goko,stim/goko.wav,0,8,8,24,,,space,1.29983592033,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,peke,stim/peke.wav,0,9,9,37,,,space,1.1782810688,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,daka,stim/daka.wav,0,10,10,12,,,space,1.16375589371,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oka,stim/oka.wav,0,11,11,34,,,space,0.904428958893,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,palo,stim/palo.wav,0,12,12,36,,,space,0.800714969635,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,apa,stim/apa.wav,0,13,13,1,,,space,1.75080800056,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,deke,stim/deke.wav,0,14,14,13,,,space,1.06391215324,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kaka,stim/kaka.wav,0,15,15,28,,,space,1.3171081543,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,duku,stim/duku.wav,0,16,16,17,,,space,1.1303358078,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kuku,stim/kuku.wav,0,17,17,32,,,space,1.00064396858,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,polo,stim/polo.wav,0,18,18,40,,,space,0.833999872208,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,geke,stim/geke.wav,0,19,19,22,,,space,1.20052719116,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,epa,stim/epa.wav,0,20,20,19,,,space,0.936141014099,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,boko,stim/boko.wav,0,21,21,6,,,space,1.28056621552,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kiki,stim/kiki.wav,0,22,22,30,,,space,1.98421192169,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,topo,stim/topo.wav,0,23,23,46,,,space,1.10079407692,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,taka,stim/taka.wav,0,24,24,43,,,space,0.700562953949,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tuku,stim/tuku.wav,0,25,25,48,,,space,0.734204053879,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,buku,stim/buku.wav,0,26,26,8,,,space,0.604101896286,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,giki,stim/giki.wav,0,27,27,23,,,space,0.938090085983,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,baka,stim/baka.wav,0,28,28,2,,,space,1.16719198227,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,biki,stim/biki.wav,0,29,29,5,,,space,1.13045811653,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,gato,stim/gato.wav,0,30,30,21,,,space,0.763562917709,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,gota,stim/gota.wav,0,31,31,25,,,space,0.713468074799,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,caca,stim/caca.wav,0,32,32,9,,,space,1.11728906631,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,bola,stim/bola.wav,0,33,33,7,,,space,0.787724018097,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,gaka,stim/gaka.wav,0,34,34,20,,,space,0.970546007156,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,taco,stim/taco.wav,0,35,35,42,,,space,0.734184980392,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,eda,stim/eda.wav,0,36,36,18,,,space,1.03376603127,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,teke,stim/teke.wav,0,37,37,44,,,space,1.05062413216,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,guku,stim/guku.wav,0,38,38,26,,,space,0.933995008469,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,paka,stim/paka.wav,0,39,39,35,,,space,1.65467810631,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,ada,stim/ada.wav,0,40,40,0,,,space,0.950762987137,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,doko,stim/doko.wav,0,41,41,16,,,space,1.23375606537,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,beke,stim/beke.wav,0,42,42,4,,,space,1.03729200363,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,diki,stim/diki.wav,0,43,43,14,,,space,1.23408293724,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,ita,stim/ita.wav,0,44,44,27,,,space,0.983797073364,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,piki,stim/piki.wav,0,45,45,38,,,space,0.750593185425,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,toko,stim/toko.wav,0,46,46,47,,,space,0.904149055481,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,poko,stim/poko.wav,0,47,47,39,,,space,0.763940095901,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,coco,stim/coco.wav,0,48,48,10,,,space,1.05063915253,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,keke,stim/keke.wav,0,49,49,29,,,space,1.2832839489,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,beke,stim/beke.wav,1,0,50,4,,,space,0.931026935577,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,goko,stim/goko.wav,1,1,51,24,,,space,1.04724907875,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oba,stim/oba.wav,1,2,52,33,,,space,1.68434119225,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dodo,stim/dodo.wav,1,3,53,15,,,space,1.28429102898,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dado,stim/dado.wav,1,4,54,11,,,space,0.900567054749,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,polo,stim/polo.wav,1,5,55,40,,,space,0.717029094696,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,bola,stim/bola.wav,1,6,56,7,,,space,0.667480945587,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,biki,stim/biki.wav,1,7,57,5,,,space,1.03375506401,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,topo,stim/topo.wav,1,8,58,46,,,space,0.604046106339,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,gato,stim/gato.wav,1,9,59,21,,,space,0.683892965317,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,toko,stim/toko.wav,1,10,60,47,,,space,0.820564985275,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,doko,stim/doko.wav,1,11,61,16,,,space,0.813637971878,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,deke,stim/deke.wav,1,12,62,13,,,space,0.866977930069,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,keke,stim/keke.wav,1,13,63,29,,,space,1.42064714432,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,taka,stim/taka.wav,1,14,64,43,,,space,0.870937824249,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tuku,stim/tuku.wav,1,15,65,48,,,space,0.70019197464,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,taco,stim/taco.wav,1,16,66,42,,,space,0.666750192642,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kuku,stim/kuku.wav,1,17,67,32,,,space,1.23416614532,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,gaka,stim/gaka.wav,1,18,68,20,,,space,0.550729036331,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,koko,stim/koko.wav,1,19,69,31,,,space,1.38410186768,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kiki,stim/kiki.wav,1,20,70,30,,,space,1.03417491913,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,epa,stim/epa.wav,1,21,71,19,,,space,0.833930015564,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,giki,stim/giki.wav,1,22,72,23,,,space,0.504297971725,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,duku,stim/duku.wav,1,23,73,17,,,space,0.503952980042,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,gota,stim/gota.wav,1,24,74,25,,,space,1.50029206276,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,eda,stim/eda.wav,1,25,75,18,,,space,0.637456893921,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,palo,stim/palo.wav,1,26,76,36,,,space,0.713715076447,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,teke,stim/teke.wav,1,27,77,44,,,space,0.900476932526,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kaka,stim/kaka.wav,1,28,78,28,,,space,1.11762094498,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,ada,stim/ada.wav,1,29,79,0,,,space,0.900516986847,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,boko,stim/boko.wav,1,30,80,6,,,space,0.933902025223,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,puku,stim/puku.wav,1,31,81,41,,,space,1.2008638382,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tiki,stim/tiki.wav,1,32,82,45,,,space,0.703765869141,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,piki,stim/piki.wav,1,33,83,38,,,space,0.817338943481,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oka,stim/oka.wav,1,34,84,34,,,space,0.663832187653,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,buku,stim/buku.wav,1,35,85,8,,,space,0.717308044434,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,paka,stim/paka.wav,1,36,86,35,,,space,1.11747097969,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,geke,stim/geke.wav,1,37,87,22,,,space,1.46740889549,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,ita,stim/ita.wav,1,38,88,27,,,space,0.450443029404,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,uta,stim/uta.wav,1,39,89,49,,,space,0.300341844559,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,caca,stim/caca.wav,1,40,90,9,,,space,1.01709198952,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,guku,stim/guku.wav,1,41,91,26,,,space,0.750665187836,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,diki,stim/diki.wav,1,42,92,14,,,space,0.884420156479,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,peke,stim/peke.wav,1,43,93,37,,,space,0.833981990814,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,baka,stim/baka.wav,1,44,94,2,,,space,0.820929050446,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,apa,stim/apa.wav,1,45,95,1,,,space,0.550047874451,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,poko,stim/poko.wav,1,46,96,39,,,space,1.18425488472,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,bala,stim/bala.wav,1,47,97,3,,,space,1.1677942276,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,daka,stim/daka.wav,1,48,98,12,,,space,0.867300987244,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,coco,stim/coco.wav,1,49,99,10,,,space,0.633837938309,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,polo,stim/polo.wav,2,0,100,40,,,space,1.867426157,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,giki,stim/giki.wav,2,1,101,23,,,space,0.917109012604,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tiki,stim/tiki.wav,2,2,102,45,,,space,0.720958948135,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,coco,stim/coco.wav,2,3,103,10,,,space,0.670969963074,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,daka,stim/daka.wav,2,4,104,12,,,space,1.13057804108,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,ada,stim/ada.wav,2,5,105,0,,,space,0.600769042969,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,peke,stim/peke.wav,2,6,106,37,,,space,0.650635957718,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,palo,stim/palo.wav,2,7,107,36,,,space,0.603938817978,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,puku,stim/puku.wav,2,8,108,41,,,space,0.963788986206,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,uta,stim/uta.wav,2,9,109,49,,,space,0.463807821274,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dado,stim/dado.wav,2,10,110,11,,,space,0.816829919815,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,apa,stim/apa.wav,2,11,111,1,,,space,1.01736593246,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,biki,stim/biki.wav,2,12,112,5,,,space,1.08408689499,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,bala,stim/bala.wav,2,13,113,3,,,space,0.90039396286,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,buku,stim/buku.wav,2,14,114,8,,,space,0.554108142853,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,diki,stim/diki.wav,2,15,115,14,,,space,0.250515937805,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,deke,stim/deke.wav,2,16,116,13,,,space,0.484040975571,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,toko,stim/toko.wav,2,17,117,47,,,space,0.734256029129,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oba,stim/oba.wav,2,18,118,33,,,space,1.10138392448,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,goko,stim/goko.wav,2,19,119,24,,,space,0.983887195587,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,doko,stim/doko.wav,2,20,120,16,,,space,1.43402290344,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,boko,stim/boko.wav,2,21,121,6,,,space,1.23398113251,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,dodo,stim/dodo.wav,2,22,122,15,,,space,0.984036922455,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,guku,stim/guku.wav,2,23,123,26,,,space,0.950496912003,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,topo,stim/topo.wav,2,24,124,46,,,space,1.01734805107,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,geke,stim/geke.wav,2,25,125,22,,,space,0.971043109894,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,gaka,stim/gaka.wav,2,26,126,20,,,space,0.950758934021,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,keke,stim/keke.wav,2,27,127,29,,,space,1.41734790802,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,teke,stim/teke.wav,2,28,128,44,,,space,0.717182159424,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,caca,stim/caca.wav,2,29,129,9,,,space,2.21764802933,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kuku,stim/kuku.wav,2,30,130,32,,,space,0.537653923035,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,koko,stim/koko.wav,2,31,131,31,,,space,0.653661966324,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,tuku,stim/tuku.wav,2,32,132,48,,,space,0.280189990997,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,piki,stim/piki.wav,2,33,133,38,,,space,0.383634805679,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,kiki,stim/kiki.wav,2,34,134,30,,,space,0.984055042267,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,paka,stim/paka.wav,2,35,135,35,,,space,0.73397898674,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
pname,gato,stim/gato.wav,2,36,136,21,,,space,0.796968221664,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
distractor,oka,stim/oka.wav,2,37,137,34,,,space,0.76726603508,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
target,poko,stim/poko.wav,2,38,138,39,,,space,0.600685119629,,,001,luciabi,59.988729687,prodShadow,2015_Dec_02_1219,tuc,
