status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,6.53420615196,,,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,dado,stim/dado.wav,0,0,0,11,,,space,2.81745910645,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,taco,stim/taco.wav,0,1,1,42,,,space,1.35080599785,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,buku,stim/buku.wav,0,2,2,8,,,space,1.75082206726,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,apa,stim/apa.wav,0,3,3,1,,,space,1.66764998436,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,diki,stim/diki.wav,0,4,4,14,,,space,1.53419709206,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,biki,stim/biki.wav,0,5,5,5,,,space,1.21727895737,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,palo,stim/palo.wav,0,6,6,36,,,space,1.51743483543,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,teke,stim/teke.wav,0,7,7,44,,,space,1.35089302063,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,goko,stim/goko.wav,0,8,8,24,,,space,1.98426294327,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,deke,stim/deke.wav,0,9,9,13,,,space,1.41738009453,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,oba,stim/oba.wav,0,10,10,33,,,space,1.20417785645,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,peke,stim/peke.wav,0,11,11,37,,,space,1.23395991325,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,ada,stim/ada.wav,0,12,12,0,,,space,1.38402485847,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,beke,stim/beke.wav,0,13,13,4,,,space,2.00074791908,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
pname,dodo,stim/dodo.wav,0,14,14,15,,,space,2.28247189522,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,piki,stim/piki.wav,0,15,15,38,,,space,1.71741294861,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
distractor,ita,stim/ita.wav,0,16,16,27,,,space,1.41760206223,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,puku,stim/puku.wav,0,17,17,41,,,space,2.33080482483,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,doko,stim/doko.wav,0,18,18,16,,,space,1.36940813065,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,kiki,stim/kiki.wav,0,19,19,30,,,space,2.16726994514,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
target,gaka,stim/gaka.wav,0,20,20,20,,,space,1.36712098122,001,magdabi,59.8981776222,prodShadow,2016_Jan_25_1202,tuc,
