status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.95111203194,,,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,giki,stim/giki.wav,0,0,0,23,,,space,5.25160717964,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,paka,stim/paka.wav,0,1,1,35,,,space,3.38446903229,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,ada,stim/ada.wav,0,2,2,0,,,space,3.41803216934,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,gato,stim/gato.wav,0,3,3,21,,,space,3.85112810135,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,oba,stim/oba.wav,0,4,4,33,,,space,3.1173210144,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,deke,stim/deke.wav,0,5,5,13,,,space,3.58408594131,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,toko,stim/toko.wav,0,6,6,47,,,space,3.26786184311,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,gota,stim/gota.wav,0,7,7,25,,,space,3.78436517715,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,puku,stim/puku.wav,0,8,8,41,,,space,3.55140399933,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,apa,stim/apa.wav,0,9,9,1,,,space,3.63418388367,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,koko,stim/koko.wav,0,10,10,31,,,space,3.48446416855,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,diki,stim/diki.wav,0,11,11,14,,,space,3.86784887314,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,polo,stim/polo.wav,0,12,12,40,,,space,3.50146508217,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,goko,stim/goko.wav,0,13,13,24,,,space,3.46774983406,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,dado,stim/dado.wav,0,14,14,11,,,space,3.45105099678,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,uta,stim/uta.wav,0,15,15,49,,,space,3.31796097755,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,keke,stim/keke.wav,0,16,16,29,,,space,3.73390412331,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,eda,stim/eda.wav,0,17,17,18,,,space,3.46744394302,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,duku,stim/duku.wav,0,18,18,17,,,space,3.78417897224,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,bola,stim/bola.wav,0,19,19,7,,,space,3.90097403526,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,boko,stim/boko.wav,0,20,20,6,,,space,4.06726813316,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,taka,stim/taka.wav,0,21,21,43,,,space,3.60118198395,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,daka,stim/daka.wav,0,22,22,12,,,space,3.95135807991,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,bala,stim/bala.wav,0,23,23,3,,,space,3.75054502487,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,buku,stim/buku.wav,0,24,24,8,,,space,3.86804199219,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,doko,stim/doko.wav,0,25,25,16,,,space,3.53442001343,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,kaka,stim/kaka.wav,0,26,26,28,,,space,3.88531398773,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,topo,stim/topo.wav,0,27,27,46,,,space,3.75216889381,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,oka,stim/oka.wav,0,28,28,34,,,space,3.45160079002,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,kuku,stim/kuku.wav,0,29,29,32,,,space,3.3845000267,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,dodo,stim/dodo.wav,0,30,30,15,,,space,3.21695804596,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,taco,stim/taco.wav,0,31,31,42,,,space,3.55023193359,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
target,poko,stim/poko.wav,0,32,32,39,,,space,3.3841919899,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,palo,stim/palo.wav,0,33,33,36,,,space,3.33384799957,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
distractor,ita,stim/ita.wav,0,34,34,27,,,space,3.76770997047,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
pname,coco,stim/coco.wav,0,35,35,10,,,space,3.63481092453,,,000,ems,59.9444903373,prodShadow,2015_Jun_29_1554,midd,
