status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.4686729908,,,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,palo,stim/palo.wav,0,0,0,36,,,space,5.03427600861,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
distractor,oka,stim/oka.wav,0,1,1,34,,,space,4.03422999382,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,tiki,stim/tiki.wav,0,2,2,45,,,space,3.33413910866,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,taco,stim/taco.wav,0,3,3,42,,,space,3.80157113075,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,kuku,stim/kuku.wav,0,4,4,32,,,space,3.50153112411,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
distractor,uta,stim/uta.wav,0,5,5,49,,,space,3.4687461853,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,dodo,stim/dodo.wav,0,6,6,15,,,space,3.71816015244,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,kiki,stim/kiki.wav,0,7,7,30,,,space,3.66727209091,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
distractor,ada,stim/ada.wav,0,8,8,0,,,space,3.61708903313,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,taka,stim/taka.wav,0,9,9,43,,,space,3.48466014862,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,giki,stim/giki.wav,0,10,10,23,,,space,3.45049285889,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,doko,stim/doko.wav,0,11,11,16,,,space,3.75105595589,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,poko,stim/poko.wav,0,12,12,39,,,space,3.33505487442,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,topo,stim/topo.wav,0,13,13,46,,,space,3.40114092827,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,guku,stim/guku.wav,0,14,14,26,,,space,3.55064606667,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,baka,stim/baka.wav,0,15,15,2,,,space,4.05107092857,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,gota,stim/gota.wav,0,16,16,25,,,space,3.65185284615,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
distractor,oba,stim/oba.wav,0,17,17,33,,,space,3.43414592743,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,bala,stim/bala.wav,0,18,18,3,,,space,3.56745696068,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,puku,stim/puku.wav,0,19,19,41,,,space,3.64995503426,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,beke,stim/beke.wav,0,20,20,4,,,space,3.96545004845,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,keke,stim/keke.wav,0,21,21,29,,,space,3.61715006828,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,biki,stim/biki.wav,0,22,22,5,,,space,3.79943394661,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,paka,stim/paka.wav,0,23,23,35,,,space,3.68153214455,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,gato,stim/gato.wav,0,24,24,21,,,space,3.81642389297,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,daka,stim/daka.wav,0,25,25,12,,,space,3.83416390419,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,deke,stim/deke.wav,0,26,26,13,,,space,3.66631293297,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,goko,stim/goko.wav,0,27,27,24,,,space,3.50039815903,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
distractor,eda,stim/eda.wav,0,28,28,18,,,space,3.43354201317,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,gaka,stim/gaka.wav,0,29,29,20,,,space,3.46596693993,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,diki,stim/diki.wav,0,30,30,14,,,space,3.58671712875,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,boko,stim/boko.wav,0,31,31,6,,,space,3.5996029377,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,koko,stim/koko.wav,0,32,32,31,,,space,3.4659049511,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,piki,stim/piki.wav,0,33,33,38,,,space,3.40023803711,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,kaka,stim/kaka.wav,0,34,34,28,,,space,3.63329100609,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,toko,stim/toko.wav,0,35,35,47,,,space,3.51717495918,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,peke,stim/peke.wav,0,36,36,37,,,space,3.3662750721,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,tuku,stim/tuku.wav,0,37,37,48,,,space,3.20128202438,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,polo,stim/polo.wav,0,38,38,40,,,space,3.5187959671,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,dado,stim/dado.wav,0,39,39,11,,,space,3.76591110229,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
pname,coco,stim/coco.wav,0,40,40,10,,,space,3.63410115242,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
target,duku,stim/duku.wav,0,41,41,17,,,space,3.73435902596,,,000,jkw,60.0308004099,prodShadow,2015_Jun_29_1702,midd,
