status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.73337697983,,,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,coco,stim/coco.wav,0,0,0,10,,,space,3.50127506256,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,gota,stim/gota.wav,0,1,1,25,,,space,2.73491716385,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,biki,stim/biki.wav,0,2,2,5,,,space,2.834649086,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,tuku,stim/tuku.wav,0,3,3,48,,,space,2.50017690659,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,guku,stim/guku.wav,0,4,4,26,,,space,2.76759004593,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,geke,stim/geke.wav,0,5,5,22,,,space,2.60089302063,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,gato,stim/gato.wav,0,6,6,21,,,space,2.60062098503,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,koko,stim/koko.wav,0,7,7,31,,,space,2.70131492615,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,oka,stim/oka.wav,0,8,8,34,,,space,2.41728997231,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,gaka,stim/gaka.wav,0,9,9,20,,,space,2.51795911789,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,kaka,stim/kaka.wav,0,10,10,28,,,space,2.28482818604,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,polo,stim/polo.wav,0,11,11,40,,,space,2.16754603386,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,poko,stim/poko.wav,0,12,12,39,,,space,2.23431110382,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,doko,stim/doko.wav,0,13,13,16,,,space,2.33459806442,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,taka,stim/taka.wav,0,14,14,43,,,space,2.16729402542,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,ita,stim/ita.wav,0,15,15,27,,,space,2.64988589287,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,peke,stim/peke.wav,0,16,16,37,,,space,2.40071296692,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,deke,stim/deke.wav,0,17,17,13,,,space,2.65093493462,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,palo,stim/palo.wav,0,18,18,36,,,space,2.20070791245,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,taco,stim/taco.wav,0,19,19,42,,,space,2.36683893204,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,paka,stim/paka.wav,0,20,20,35,,,space,2.3007068634,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,dodo,stim/dodo.wav,0,21,21,15,,,space,2.38372421265,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,kiki,stim/kiki.wav,0,22,22,30,,,space,2.5185611248,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,eda,stim/eda.wav,0,23,23,18,,,space,2.40153598785,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,baka,stim/baka.wav,0,24,24,2,,,space,2.86763095856,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,epa,stim/epa.wav,0,25,25,19,,,space,2.06746196747,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,giki,stim/giki.wav,0,26,26,23,,,space,2.450963974,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,teke,stim/teke.wav,0,27,27,44,,,space,2.36767196655,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,duku,stim/duku.wav,0,28,28,17,,,space,2.43403196335,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,kuku,stim/kuku.wav,0,29,29,32,,,space,2.23458194733,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,topo,stim/topo.wav,0,30,30,46,,,space,2.31722903252,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,ada,stim/ada.wav,0,31,31,0,,,space,2.1670589447,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,bala,stim/bala.wav,0,32,32,3,,,space,2.30200719833,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,boko,stim/boko.wav,0,33,33,6,,,space,2.38407993317,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,toko,stim/toko.wav,0,34,34,47,,,space,2.33462095261,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,daka,stim/daka.wav,0,35,35,12,,,space,2.2842130661,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,tiki,stim/tiki.wav,0,36,36,45,,,space,2.35128211975,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,beke,stim/beke.wav,0,37,37,4,,,space,2.6180999279,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,buku,stim/buku.wav,0,38,38,8,,,space,2.41867280006,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,uta,stim/uta.wav,0,39,39,49,,,space,1.93458986282,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,puku,stim/puku.wav,0,40,40,41,,,space,2.16754102707,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,apa,stim/apa.wav,0,41,41,1,,,space,2.00061202049,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,keke,stim/keke.wav,0,42,42,29,,,space,2.10051894188,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,caca,stim/caca.wav,0,43,43,9,,,space,2.11748409271,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,oba,stim/oba.wav,0,44,44,33,,,space,2.28454113007,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,diki,stim/diki.wav,0,45,45,14,,,space,1.90133619308,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,dado,stim/dado.wav,0,46,46,11,,,space,2.30179905891,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,bola,stim/bola.wav,0,47,47,7,,,space,2.44997906685,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,goko,stim/goko.wav,0,48,48,24,,,space,2.50076699257,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,piki,stim/piki.wav,0,49,49,38,,,space,2.15009307861,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,taka,stim/taka.wav,1,0,50,43,,,space,2.3011469841,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,doko,stim/doko.wav,1,1,51,16,,,space,2.30010104179,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,polo,stim/polo.wav,1,2,52,40,,,space,2.33389019966,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,kuku,stim/kuku.wav,1,3,53,32,,,space,1.96774196625,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
pname,dado,stim/dado.wav,1,4,54,11,,,space,2.90051603317,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,gaka,stim/gaka.wav,1,5,55,20,,,space,2.55122900009,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
distractor,uta,stim/uta.wav,1,6,56,49,,,space,2.30062294006,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,toko,stim/toko.wav,1,7,57,47,,,space,2.18427109718,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
target,peke,stim/peke.wav,1,8,58,37,,,space,1.96820688248,,,000,lmw,59.7761052576,prodShadow,2015_Jun_30_1520,midd,
