status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,6.55126214027,,,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,coco,stim/coco.wav,0,0,0,10,,,space,5.75133323669,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,gota,stim/gota.wav,0,1,1,25,,,space,3.71864199638,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,poko,stim/poko.wav,0,2,2,39,,,space,2.98432612419,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,topo,stim/topo.wav,0,3,3,46,,,space,2.88399791718,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,eda,stim/eda.wav,0,4,4,18,,,space,3.15049004555,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,daka,stim/daka.wav,0,5,5,12,,,space,3.41729092598,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,kaka,stim/kaka.wav,0,6,6,28,,,space,4.00124907494,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,kuku,stim/kuku.wav,0,7,7,32,,,space,3.76820588112,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,toko,stim/toko.wav,0,8,8,47,,,space,3.45073485374,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,taka,stim/taka.wav,0,9,9,43,,,space,3.28472995758,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,beke,stim/beke.wav,0,10,10,4,,,space,3.60079216957,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,tuku,stim/tuku.wav,0,11,11,48,,,space,2.88436198235,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,guku,stim/guku.wav,0,12,12,26,,,space,2.76782417297,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,gato,stim/gato.wav,0,13,13,21,,,space,3.28359293938,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,palo,stim/palo.wav,0,14,14,36,,,space,3.01804304123,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,caca,stim/caca.wav,0,15,15,9,,,space,2.70137000084,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,baka,stim/baka.wav,0,16,16,2,,,space,3.31751298904,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,boko,stim/boko.wav,0,17,17,6,,,space,3.31764101982,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,deke,stim/deke.wav,0,18,18,13,,,space,3.56770801544,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,koko,stim/koko.wav,0,19,19,31,,,space,3.16734194756,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,uta,stim/uta.wav,0,20,20,49,,,space,3.10149002075,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,goko,stim/goko.wav,0,21,21,24,,,space,3.06742691994,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,oba,stim/oba.wav,0,22,22,33,,,space,2.73452186584,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,doko,stim/doko.wav,0,23,23,16,,,space,3.1670460701,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,ita,stim/ita.wav,0,24,24,27,,,space,3.28319907188,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,piki,stim/piki.wav,0,25,25,38,,,space,3.0350317955,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,dodo,stim/dodo.wav,0,26,26,15,,,space,3.23424315453,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,taco,stim/taco.wav,0,27,27,42,,,space,3.06819105148,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,biki,stim/biki.wav,0,28,28,5,,,space,3.26691293716,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,polo,stim/polo.wav,0,29,29,40,,,space,3.08539319038,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,geke,stim/geke.wav,0,30,30,22,,,space,2.96778416634,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,bola,stim/bola.wav,0,31,31,7,,,space,2.96736097336,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,epa,stim/epa.wav,0,32,32,19,,,space,2.78403401375,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,tiki,stim/tiki.wav,0,33,33,45,,,space,2.83461618423,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,giki,stim/giki.wav,0,34,34,23,,,space,2.66744709015,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,keke,stim/keke.wav,0,35,35,29,,,space,2.93397688866,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,ada,stim/ada.wav,0,36,36,0,,,space,3.20090913773,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,paka,stim/paka.wav,0,37,37,35,,,space,2.98413801193,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,duku,stim/duku.wav,0,38,38,17,,,space,2.91764092445,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,oka,stim/oka.wav,0,39,39,34,,,space,3.05138802528,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,bala,stim/bala.wav,0,40,40,3,,,space,2.96836018562,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,dado,stim/dado.wav,0,41,41,11,,,space,3.1845369339,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,gaka,stim/gaka.wav,0,42,42,20,,,space,3.18462181091,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,kiki,stim/kiki.wav,0,43,43,30,,,space,3.0175049305,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,apa,stim/apa.wav,0,44,44,1,,,space,3.20087695122,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,teke,stim/teke.wav,0,45,45,44,,,space,2.96794009209,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,buku,stim/buku.wav,0,46,46,8,,,space,3.41722583771,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,diki,stim/diki.wav,0,47,47,14,,,space,3.15122199059,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,peke,stim/peke.wav,0,48,48,37,,,space,3.16785788536,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,puku,stim/puku.wav,0,49,49,41,,,space,3.13394904137,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
pname,taco,stim/taco.wav,1,0,50,42,,,space,3.23429298401,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,piki,stim/piki.wav,1,1,51,38,,,space,2.78446912766,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,oba,stim/oba.wav,1,2,52,33,,,space,3.10096907616,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,goko,stim/goko.wav,1,3,53,24,,,space,3.35126495361,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
distractor,ita,stim/ita.wav,1,4,54,27,,,space,3.46760988235,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
target,beke,stim/beke.wav,1,5,55,4,,,space,3.401086092,,,000,mav,60.2489650397,prodShadow,2015_Jun_29_1615,midd,
