status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.98380613327,,,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,poko,stim/poko.wav,0,0,0,39,,,space,3.10089087486,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,palo,stim/palo.wav,0,1,1,36,,,space,1.36757993698,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,kiki,stim/kiki.wav,0,2,2,30,,,space,1.76747894287,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,paka,stim/paka.wav,0,3,3,35,,,space,1.2513999939,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,bala,stim/bala.wav,0,4,4,3,,,space,1.18429994583,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,dodo,stim/dodo.wav,0,5,5,15,,,space,1.15101313591,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,deke,stim/deke.wav,0,6,6,13,,,space,1.20009899139,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,kuku,stim/kuku.wav,0,7,7,32,,,space,0.817203044891,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,ita,stim/ita.wav,0,8,8,27,,,space,0.833834171295,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,piki,stim/piki.wav,0,9,9,38,,,space,0.767592906952,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,eda,stim/eda.wav,0,10,10,18,,,space,0.635059833527,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,boko,stim/boko.wav,0,11,11,6,,,space,0.983453035355,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,baka,stim/baka.wav,0,12,12,2,,,space,0.933864116669,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,guku,stim/guku.wav,0,13,13,26,,,space,0.785109996796,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,peke,stim/peke.wav,0,14,14,37,,,space,0.733757019043,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,gota,stim/gota.wav,0,15,15,25,,,space,0.967833042145,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,oba,stim/oba.wav,0,16,16,33,,,space,0.816173791885,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,koko,stim/koko.wav,0,17,17,31,,,space,0.750233888626,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,ada,stim/ada.wav,0,18,18,0,,,space,0.849688053131,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,geke,stim/geke.wav,0,19,19,22,,,space,1.04987812042,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,taka,stim/taka.wav,0,20,20,43,,,space,1.3342602253,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,biki,stim/biki.wav,0,21,21,5,,,space,0.917023897171,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,caca,stim/caca.wav,0,22,22,9,,,space,1.05149102211,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,daka,stim/daka.wav,0,23,23,12,,,space,0.768139123917,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,duku,stim/duku.wav,0,24,24,17,,,space,1.00090408325,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,puku,stim/puku.wav,0,25,25,41,,,space,0.950250148773,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,buku,stim/buku.wav,0,26,26,8,,,space,0.967675209045,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,epa,stim/epa.wav,0,27,27,19,,,space,1.46737313271,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,uta,stim/uta.wav,0,28,28,49,,,space,0.58318400383,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,gato,stim/gato.wav,0,29,29,21,,,space,1.61742901802,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,topo,stim/topo.wav,0,30,30,46,,,space,0.850345134735,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,doko,stim/doko.wav,0,31,31,16,,,space,0.783565998077,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,taco,stim/taco.wav,0,32,32,42,,,space,0.950200080872,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,tiki,stim/tiki.wav,0,33,33,45,,,space,0.600129842758,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,toko,stim/toko.wav,0,34,34,47,,,space,0.833612918854,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,goko,stim/goko.wav,0,35,35,24,,,space,0.734081029892,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,diki,stim/diki.wav,0,36,36,14,,,space,0.78453207016,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,bola,stim/bola.wav,0,37,37,7,,,space,0.532913923264,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,giki,stim/giki.wav,0,38,38,23,,,space,0.800748109818,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,beke,stim/beke.wav,0,39,39,4,,,space,0.984199047089,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,keke,stim/keke.wav,0,40,40,29,,,space,1.9018509388,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,dado,stim/dado.wav,0,41,41,11,,,space,0.799412965775,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,kaka,stim/kaka.wav,0,42,42,28,,,space,0.633542060852,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,polo,stim/polo.wav,0,43,43,40,,,space,0.417614936829,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,coco,stim/coco.wav,0,44,44,10,,,space,0.933917045593,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,apa,stim/apa.wav,0,45,45,1,,,space,0.63293504715,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,tuku,stim/tuku.wav,0,46,46,48,,,space,0.750792980194,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,oka,stim/oka.wav,0,47,47,34,,,space,0.80042719841,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,gaka,stim/gaka.wav,0,48,48,20,,,space,0.900116205215,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,teke,stim/teke.wav,0,49,49,44,,,space,1.06739902496,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,coco,stim/coco.wav,1,0,50,10,,,space,0.61622095108,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,gota,stim/gota.wav,1,1,51,25,,,space,0.834866046906,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,beke,stim/beke.wav,1,2,52,4,,,space,0.801633119583,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,baka,stim/baka.wav,1,3,53,2,,,space,0.918278217316,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,teke,stim/teke.wav,1,4,54,44,,,space,0.767946004868,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
pname,bola,stim/bola.wav,1,5,55,7,,,space,0.750241994858,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
distractor,oba,stim/oba.wav,1,6,56,33,,,space,0.866238832474,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,tiki,stim/tiki.wav,1,7,57,45,,,space,0.633349895477,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,doko,stim/doko.wav,1,8,58,16,,,space,1.35020303726,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,kaka,stim/kaka.wav,1,9,59,28,,,space,0.867429018021,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,buku,stim/buku.wav,1,10,60,8,,,space,0.60075712204,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,taka,stim/taka.wav,1,11,61,43,,,space,1.01782989502,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,koko,stim/koko.wav,1,12,62,31,,,space,0.517326831818,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,biki,stim/biki.wav,1,13,63,5,,,space,0.600203037262,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,piki,stim/piki.wav,1,14,64,38,,,space,0.383527040482,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,deke,stim/deke.wav,1,15,65,13,,,space,1.96760606766,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,puku,stim/puku.wav,1,16,66,41,,,space,0.766669988632,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
target,kuku,stim/kuku.wav,1,17,67,32,,,space,0.634634971619,,,001,blr,59.8992041152,prodShadow,2015_Jul_05_1546,midd,
