status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,9.16833806038,,,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,gato,stim/gato.wav,0,0,0,21,,,space,2.15116286278,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,gaka,stim/gaka.wav,0,1,1,20,,,space,1.75083708763,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,coco,stim/coco.wav,0,2,2,10,,,space,1.83447194099,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,tuku,stim/tuku.wav,0,3,3,48,,,space,1.43443608284,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,eda,stim/eda.wav,0,4,4,18,,,space,1.5178360939,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kiki,stim/kiki.wav,0,5,5,30,,,space,1.61685705185,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,caca,stim/caca.wav,0,6,6,9,,,space,1.56770396233,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,epa,stim/epa.wav,0,7,7,19,,,space,1.38444280624,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,deke,stim/deke.wav,0,8,8,13,,,space,1.73460578918,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,toko,stim/toko.wav,0,9,9,47,,,space,1.58362007141,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kaka,stim/kaka.wav,0,10,10,28,,,space,1.66731905937,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,keke,stim/keke.wav,0,11,11,29,,,space,1.76786017418,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,ita,stim/ita.wav,0,12,12,27,,,space,1.43460702896,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,doko,stim/doko.wav,0,13,13,16,,,space,1.634349823,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,boko,stim/boko.wav,0,14,14,6,,,space,1.73342585564,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,baka,stim/baka.wav,0,15,15,2,,,space,1.734115839,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,gota,stim/gota.wav,0,16,16,25,,,space,1.90032505989,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,polo,stim/polo.wav,0,17,17,40,,,space,1.36781597137,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,topo,stim/topo.wav,0,18,18,46,,,space,1.3174431324,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,poko,stim/poko.wav,0,19,19,39,,,space,1.4174478054,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,giki,stim/giki.wav,0,20,20,23,,,space,1.28444290161,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,biki,stim/biki.wav,0,21,21,5,,,space,1.6503880024,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,uta,stim/uta.wav,0,22,22,49,,,space,1.28417611122,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,dado,stim/dado.wav,0,23,23,11,,,space,1.3844408989,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bola,stim/bola.wav,0,24,24,7,,,space,1.51727604866,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,paka,stim/paka.wav,0,25,25,35,,,space,1.33347988129,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,oka,stim/oka.wav,0,26,26,34,,,space,1.48462486267,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,taco,stim/taco.wav,0,27,27,42,,,space,1.4843890667,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,ada,stim/ada.wav,0,28,28,0,,,space,1.38391900063,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,koko,stim/koko.wav,0,29,29,31,,,space,1.3515150547,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,piki,stim/piki.wav,0,30,30,38,,,space,1.16683697701,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,teke,stim/teke.wav,0,31,31,44,,,space,1.26782798767,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,duku,stim/duku.wav,0,32,32,17,,,space,1.43355298042,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kuku,stim/kuku.wav,0,33,33,32,,,space,1.3344039917,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,palo,stim/palo.wav,0,34,34,36,,,space,1.33345103264,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,apa,stim/apa.wav,0,35,35,1,,,space,1.26763510704,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,buku,stim/buku.wav,0,36,36,8,,,space,1.46715807915,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,tiki,stim/tiki.wav,0,37,37,45,,,space,1.23481106758,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,guku,stim/guku.wav,0,38,38,26,,,space,1.3846039772,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,geke,stim/geke.wav,0,39,39,22,,,space,1.50138115883,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,goko,stim/goko.wav,0,40,40,24,,,space,1.41746711731,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,puku,stim/puku.wav,0,41,41,41,,,space,1.3842959404,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,dodo,stim/dodo.wav,0,42,42,15,,,space,1.35140991211,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bala,stim/bala.wav,0,43,43,3,,,space,1.28456187248,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,diki,stim/diki.wav,0,44,44,14,,,space,1.40104699135,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,peke,stim/peke.wav,0,45,45,37,,,space,1.3175342083,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,daka,stim/daka.wav,0,46,46,12,,,space,1.41833806038,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,oba,stim/oba.wav,0,47,47,33,,,space,1.23477005959,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,taka,stim/taka.wav,0,48,48,43,,,space,1.26832795143,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,beke,stim/beke.wav,0,49,49,4,,,space,1.63472104073,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,dodo,stim/dodo.wav,1,0,50,15,,,space,1.41774201393,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,tuku,stim/tuku.wav,1,1,51,48,,,space,1.41781997681,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,poko,stim/poko.wav,1,2,52,39,,,space,1.30049300194,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,dado,stim/dado.wav,1,3,53,11,,,space,1.48450803757,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,oba,stim/oba.wav,1,4,54,33,,,space,1.38372898102,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,giki,stim/giki.wav,1,5,55,23,,,space,1.31737518311,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,deke,stim/deke.wav,1,6,56,13,,,space,1.48352909088,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kaka,stim/kaka.wav,1,7,57,28,,,space,1.33423805237,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,peke,stim/peke.wav,1,8,58,37,,,space,1.11735510826,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,buku,stim/buku.wav,1,9,59,8,,,space,1.38433098793,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,puku,stim/puku.wav,1,10,60,41,,,space,1.36719489098,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,uta,stim/uta.wav,1,11,61,49,,,space,1.25158381462,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,epa,stim/epa.wav,1,12,62,19,,,space,1.16763305664,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,tiki,stim/tiki.wav,1,13,63,45,,,space,1.20054197311,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,topo,stim/topo.wav,1,14,64,46,,,space,1.26693415642,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,beke,stim/beke.wav,1,15,65,4,,,space,1.55147886276,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,piki,stim/piki.wav,1,16,66,38,,,space,1.31765604019,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,teke,stim/teke.wav,1,17,67,44,,,space,1.4843711853,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,taco,stim/taco.wav,1,18,68,42,,,space,1.26751208305,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,doko,stim/doko.wav,1,19,69,16,,,space,1.40124893188,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,oka,stim/oka.wav,1,20,70,34,,,space,1.38389396667,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,taka,stim/taka.wav,1,21,71,43,,,space,1.23437905312,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,ada,stim/ada.wav,1,22,72,0,,,space,1.25054502487,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,diki,stim/diki.wav,1,23,73,14,,,space,1.43380498886,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,daka,stim/daka.wav,1,24,74,12,,,space,1.41752099991,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,keke,stim/keke.wav,1,25,75,29,,,space,1.30042910576,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,gaka,stim/gaka.wav,1,26,76,20,,,space,1.40066003799,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,palo,stim/palo.wav,1,27,77,36,,,space,1.31789517403,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,biki,stim/biki.wav,1,28,78,5,,,space,1.46655488014,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,apa,stim/apa.wav,1,29,79,1,,,space,1.31754779816,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bola,stim/bola.wav,1,30,80,7,,,space,1.41762709618,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,polo,stim/polo.wav,1,31,81,40,,,space,1.10050916672,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,eda,stim/eda.wav,1,32,82,18,,,space,1.31681489944,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,ita,stim/ita.wav,1,33,83,27,,,space,1.25057411194,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,duku,stim/duku.wav,1,34,84,17,,,space,1.48193192482,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,koko,stim/koko.wav,1,35,85,31,,,space,1.40037107468,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kiki,stim/kiki.wav,1,36,86,30,,,space,1.29824304581,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,geke,stim/geke.wav,1,37,87,22,,,space,1.43109083176,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,baka,stim/baka.wav,1,38,88,2,,,space,1.38174009323,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,kuku,stim/kuku.wav,1,39,89,32,,,space,1.29810810089,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,gota,stim/gota.wav,1,40,90,25,,,space,1.44903802872,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,caca,stim/caca.wav,1,41,91,9,,,space,1.28256702423,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bala,stim/bala.wav,1,42,92,3,,,space,1.33302092552,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,guku,stim/guku.wav,1,43,93,26,,,space,1.4021089077,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,coco,stim/coco.wav,1,44,94,10,,,space,1.48676109314,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,toko,stim/toko.wav,1,45,95,47,,,space,1.25414299965,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,goko,stim/goko.wav,1,46,96,24,,,space,1.26748204231,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,paka,stim/paka.wav,1,47,97,35,,,space,1.20051503181,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,boko,stim/boko.wav,1,48,98,6,,,space,1.38555908203,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,gato,stim/gato.wav,1,49,99,21,,,space,1.61512589455,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,dado,stim/dado.wav,2,0,100,11,,,space,1.41650104523,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bola,stim/bola.wav,2,1,101,7,,,space,1.37018108368,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,teke,stim/teke.wav,2,2,102,44,,,space,1.28632688522,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,polo,stim/polo.wav,2,3,103,40,,,space,1.35215091705,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
pname,bala,stim/bala.wav,2,4,104,3,,,space,1.25444579124,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,diki,stim/diki.wav,2,5,105,14,,,space,1.21536302567,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,paka,stim/paka.wav,2,6,106,35,,,space,1.20371007919,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,gaka,stim/gaka.wav,2,7,107,20,,,space,1.33601999283,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,tiki,stim/tiki.wav,2,8,108,45,,,space,1.33367109299,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,baka,stim/baka.wav,2,9,109,2,,,space,1.44922089577,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
distractor,ada,stim/ada.wav,2,10,110,0,,,space,1.19962501526,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,guku,stim/guku.wav,2,11,111,26,,,space,1.40073895454,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,buku,stim/buku.wav,2,12,112,8,,,space,1.44947481155,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
target,toko,stim/toko.wav,2,13,113,47,,,space,1.31733894348,,,002,jkw,59.9786929482,prodShadow,2015_Jul_12_1630,midd,
