status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.71749615669,,,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,taco,stim/taco.wav,0,0,0,42,,,space,1.93438601494,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,geke,stim/geke.wav,0,1,1,22,,,space,2.20086097717,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,peke,stim/peke.wav,0,2,2,37,,,space,1.65107798576,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,bala,stim/bala.wav,0,3,3,3,,,space,1.53415703773,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,gota,stim/gota.wav,0,4,4,25,,,space,1.76763010025,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,koko,stim/koko.wav,0,5,5,31,,,space,1.68438410759,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,kiki,stim/kiki.wav,0,6,6,30,,,space,1.78425693512,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,puku,stim/puku.wav,0,7,7,41,,,space,1.43442201614,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,diki,stim/diki.wav,0,8,8,14,,,space,1.41746115685,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,palo,stim/palo.wav,0,9,9,36,,,space,1.41798782349,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,eda,stim/eda.wav,0,10,10,18,,,space,1.60093188286,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,beke,stim/beke.wav,0,11,11,4,,,space,1.68403911591,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,deke,stim/deke.wav,0,12,12,13,,,space,1.63384485245,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,guku,stim/guku.wav,0,13,13,26,,,space,2.01742100716,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,apa,stim/apa.wav,0,14,14,1,,,space,1.83424901962,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,tiki,stim/tiki.wav,0,15,15,45,,,space,1.58438920975,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,oba,stim/oba.wav,0,16,16,33,,,space,1.45067405701,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,buku,stim/buku.wav,0,17,17,8,,,space,1.73448801041,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,daka,stim/daka.wav,0,18,18,12,,,space,1.51750397682,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,paka,stim/paka.wav,0,19,19,35,,,space,1.40089082718,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,polo,stim/polo.wav,0,20,20,40,,,space,1.36751508713,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,gaka,stim/gaka.wav,0,21,21,20,,,space,1.63395404816,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,topo,stim/topo.wav,0,22,22,46,,,space,1.35079407692,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,boko,stim/boko.wav,0,23,23,6,,,space,1.73406505585,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,gato,stim/gato.wav,0,24,24,21,,,space,1.76763486862,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,kuku,stim/kuku.wav,0,25,25,32,,,space,1.43443703651,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,ada,stim/ada.wav,0,26,26,0,,,space,1.38423109055,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,poko,stim/poko.wav,0,27,27,39,,,space,1.46743178368,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,uta,stim/uta.wav,0,28,28,49,,,space,1.58417892456,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
pname,dado,stim/dado.wav,0,29,29,11,,,space,1.45105791092,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,toko,stim/toko.wav,0,30,30,47,,,space,1.33407998085,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
target,keke,stim/keke.wav,0,31,31,29,,,space,1.83404397964,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
distractor,oka,stim/oka.wav,0,32,32,34,,,space,1.53391504288,,,002,lmw,59.9754338752,prodShadow,2015_Jul_12_1447,midd,
