status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,0.950791835785,,,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,bala,stim/bala.wav,0,0,0,3,,,space,1.78453803062,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,dado,stim/dado.wav,0,1,1,11,,,space,1.40093493462,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,caca,stim/caca.wav,0,2,2,9,,,space,1.10022091866,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,tiki,stim/tiki.wav,0,3,3,45,,,space,1.06719589233,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,geke,stim/geke.wav,0,4,4,22,,,space,1.13412594795,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,beke,stim/beke.wav,0,5,5,4,,,space,1.23441791534,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,taka,stim/taka.wav,0,6,6,43,,,space,1.16733813286,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,tuku,stim/tuku.wav,0,7,7,48,,,space,1.16776990891,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,dodo,stim/dodo.wav,0,8,8,15,,,space,1.13434886932,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,gaka,stim/gaka.wav,0,9,9,20,,,space,1.26735711098,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,ita,stim/ita.wav,0,10,10,27,,,space,1.00053691864,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,giki,stim/giki.wav,0,11,11,23,,,space,0.900447845459,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,keke,stim/keke.wav,0,12,12,29,,,space,1.10064291954,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,bola,stim/bola.wav,0,13,13,7,,,space,1.16751503944,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,uta,stim/uta.wav,0,14,14,49,,,space,1.33391094208,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,peke,stim/peke.wav,0,15,15,37,,,space,1.10074114799,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,kaka,stim/kaka.wav,0,16,16,28,,,space,1.06799888611,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,eda,stim/eda.wav,0,17,17,18,,,space,0.967586994171,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,topo,stim/topo.wav,0,18,18,46,,,space,1.13365101814,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,deke,stim/deke.wav,0,19,19,13,,,space,1.25085711479,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,epa,stim/epa.wav,0,20,20,19,,,space,0.834170103073,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,guku,stim/guku.wav,0,21,21,26,,,space,1.56714820862,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,diki,stim/diki.wav,0,22,22,14,,,space,1.11754393578,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,buku,stim/buku.wav,0,23,23,8,,,space,1.00074911118,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,toko,stim/toko.wav,0,24,24,47,,,space,0.950922012329,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,taco,stim/taco.wav,0,25,25,42,,,space,1.0172059536,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,ada,stim/ada.wav,0,26,26,0,,,space,1.03416395187,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,koko,stim/koko.wav,0,27,27,31,,,space,1.0507080555,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,doko,stim/doko.wav,0,28,28,16,,,space,1.21762394905,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,duku,stim/duku.wav,0,29,29,17,,,space,1.45105695724,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,biki,stim/biki.wav,0,30,30,5,,,space,1.30107808113,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,kuku,stim/kuku.wav,0,31,31,32,,,space,1.01733398438,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,daka,stim/daka.wav,0,32,32,12,,,space,1.08437204361,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,gota,stim/gota.wav,0,33,33,25,,,space,1.16754412651,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,teke,stim/teke.wav,0,34,34,44,,,space,1.06726002693,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
pname,polo,stim/polo.wav,0,35,35,40,,,space,1.03421592712,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,apa,stim/apa.wav,0,36,36,1,,,space,0.934317111969,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,kiki,stim/kiki.wav,0,37,37,30,,,space,0.984278917313,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,goko,stim/goko.wav,0,38,38,24,,,space,1.0838971138,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,oba,stim/oba.wav,0,39,39,33,,,space,1.03427600861,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,piki,stim/piki.wav,0,40,40,38,,,space,0.966922044754,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,puku,stim/puku.wav,0,41,41,41,,,space,1.0170648098,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
target,boko,stim/boko.wav,0,42,42,6,,,space,1.06728601456,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
distractor,oka,stim/oka.wav,0,43,43,34,,,space,1.05176711082,,,003,ems,60.0478171609,prodShadow,2015_Jul_19_1524,midd,
