file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
jal_prodShadow3_caca1,0.0,0.9185941043083901,jal,-50.196103303328805,-51.19343948364258,5.671396000684104,10.264617967911144
mam_prodShadow3_kaka1,0.0,0.8528344671201814,mam,-53.200620404411765,-53.560587882995605,4.276218493589672,11.190551509494771
ems_prodShadow3_daka2,0.0,1.1815873015873015,ems,-53.55741028866525,-55.04171562194824,4.172033751373574,10.5926768442922
ems_prodShadow3_taka1,0.0,1.1596825396825396,ems,-51.831921807650865,-54.41120529174805,4.063592031566587,11.104172854368315
lmw_prodShadow3_gota2,0.0,1.225,lmw,-49.742354230182926,-54.79971694946289,3.944783501675825,13.44325464418895
lmw_prodShadow3_oba2,0.0,0.962,lmw,-47.91995747884115,-54.28468577067057,3.944782505071886,16.365538330985423
jal_prodShadow3_paka2,0.0,0.94,jal,-53.26377057014628,-55.428422927856445,3.9274239868800547,12.599543129818063
jal_prodShadow3_ada2,0.0,0.984,jal,-42.768669284119895,-44.30897013346354,3.6800917601930436,14.589670022430445
ems_prodShadow3_bola2,0.0,1.006,ems,-47.25820409189357,-55.337867736816406,3.443174800276593,14.146921266569427
lmw_prodShadow3_ada2,0.0,1.1596825396825396,lmw,-46.256090887661635,-47.38794708251953,3.4431738036726536,15.48270608768539
djv_prodShadow3_taka1,0.0,1.072,djv,-52.533632082359816,-54.35279560089111,3.388736951681701,15.203053838795121
lmw_prodShadow3_paka2,0.0,1.2035147392290249,lmw,-49.44740397135417,-49.49499797821045,3.329711184043603,11.957691604798804
bco_prodShadow3_gaka,0.0,1.335,bco,-54.01685299090485,-58.98734760284424,3.22983497346082,12.157903467967763
jal_prodShadow3_taka2,0.0,1.072,jal,-52.158901321553735,-53.86912155151367,3.195921091435505,12.204385741079129
bco_prodShadow3_taka,0.0,1.2035147392290249,bco,-50.75877278645833,-52.83519268035889,3.195921091435505,10.694461403601782
bco_prodShadow3_taka1,0.0,1.2035147392290249,bco,-49.3055419921875,-55.280487060546875,3.195921091435505,9.078179954000948
bco_prodShadow3_paka2,0.0,1.158,bco,-49.827043204471984,-52.643433570861816,3.114040991924211,11.203644510122274
ems_prodShadow3_bola,0.0,1.006,ems,-47.041141321163366,-57.751667976379395,3.108769829847054,12.224303862972276
lmw_prodShadow3_eda1,0.0,1.028,lmw,-47.687466815837375,-42.01887003580729,3.056398122672123,15.376411983092513
lmw_prodShadow3_taka1,0.0,1.1815873015873015,lmw,-47.93243925450212,-48.29813480377197,3.003105518507176,9.452634661017548
lmw_prodShadow3_ada1,0.0,1.291,lmw,-44.26268395712209,-46.79629643758138,2.9643522861905596,13.933168386583795
ems_prodShadow3_uta2,0.0,1.0719954648526078,ems,-55.93189617406542,-64.11649068196614,2.9525203885978937,11.651086959224212
blr_prodShadow3_uta,0.0,1.1158503401360544,blr,-49.07501656668527,-54.56422551472982,2.9415670954812994,16.249300283272046
lmw_prodShadow3_gaka2,0.0,1.1377777777777778,lmw,-49.65573173656798,-54.699110984802246,2.9415670954812994,13.519402622842863
mam_prodShadow3_ita1,0.0,0.922,mam,-49.70418648097826,-51.08159510294596,2.923030134226037,9.35365450546908
jal_prodShadow3_bala,0.0,1.378843537414966,jal,-48.62624547101449,-44.54866886138916,2.914312601493483,11.098411028482122
