status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.56761789322,,,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,doko,stim/doko.wav,0,0,0,16,,,space,1.7840628624,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,eda,stim/eda.wav,0,1,1,18,,,space,1.25068902969,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,apa,stim/apa.wav,0,2,2,1,,,space,1.26740884781,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,polo,stim/polo.wav,0,3,3,40,,,space,1.11737203598,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,diki,stim/diki.wav,0,4,4,14,,,space,1.21748399734,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,coco,stim/coco.wav,0,5,5,10,,,space,1.25129818916,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,tuku,stim/tuku.wav,0,6,6,48,,,space,1.18394708633,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,puku,stim/puku.wav,0,7,7,41,,,space,1.0839869976,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,bola,stim/bola.wav,0,8,8,7,,,space,1.21788716316,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,teke,stim/teke.wav,0,9,9,44,,,space,1.20092701912,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,paka,stim/paka.wav,0,10,10,35,,,space,1.16745185852,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,daka,stim/daka.wav,0,11,11,12,,,space,1.25070810318,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,kiki,stim/kiki.wav,0,12,12,30,,,space,1.23401904106,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,oka,stim/oka.wav,0,13,13,34,,,space,1.30080389977,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,oba,stim/oba.wav,0,14,14,33,,,space,1.11731219292,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,gota,stim/gota.wav,0,15,15,25,,,space,1.36723399162,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,duku,stim/duku.wav,0,16,16,17,,,space,1.26769709587,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,taco,stim/taco.wav,0,17,17,42,,,space,1.18388414383,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,dado,stim/dado.wav,0,18,18,11,,,space,1.26739096642,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,kaka,stim/kaka.wav,0,19,19,28,,,space,1.18419408798,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,geke,stim/geke.wav,0,20,20,22,,,space,1.20095396042,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,toko,stim/toko.wav,0,21,21,47,,,space,1.21707105637,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,deke,stim/deke.wav,0,22,22,13,,,space,1.417334795,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,epa,stim/epa.wav,0,23,23,19,,,space,1.13424897194,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,ada,stim/ada.wav,0,24,24,0,,,space,1.23410582542,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,topo,stim/topo.wav,0,25,25,46,,,space,1.15072894096,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,poko,stim/poko.wav,0,26,26,39,,,space,1.10067415237,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
distractor,ita,stim/ita.wav,0,27,27,27,,,space,1.33407902718,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,buku,stim/buku.wav,0,28,28,8,,,space,1.38429784775,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,bala,stim/bala.wav,0,29,29,3,,,space,1.41744399071,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,baka,stim/baka.wav,0,30,30,2,,,space,1.28444600105,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,gato,stim/gato.wav,0,31,31,21,,,space,1.6338019371,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
pname,palo,stim/palo.wav,0,32,32,36,,,space,1.30084395409,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,gaka,stim/gaka.wav,0,33,33,20,,,space,1.41760277748,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
target,goko,stim/goko.wav,0,34,34,24,,,space,1.33379507065,,,004,bco,59.9538300345,prodShadow,2015_Jul_26_1345,midd,
