status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,0.500591993332,,,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,paka,stim/paka.wav,0,0,0,35,,,space,1.26740193367,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,puku,stim/puku.wav,0,1,1,41,,,space,1.08406400681,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,gato,stim/gato.wav,0,2,2,21,,,space,1.55107808113,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,caca,stim/caca.wav,0,3,3,9,,,space,1.41739010811,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,kiki,stim/kiki.wav,0,4,4,30,,,space,1.40100717545,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,keke,stim/keke.wav,0,5,5,29,,,space,1.41718101501,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
distractor,eda,stim/eda.wav,0,6,6,18,,,space,1.41749405861,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,tuku,stim/tuku.wav,0,7,7,48,,,space,1.10072016716,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,polo,stim/polo.wav,0,8,8,40,,,space,1.01716399193,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,goko,stim/goko.wav,0,9,9,24,,,space,1.08416891098,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,poko,stim/poko.wav,0,10,10,39,,,space,0.900947093964,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,boko,stim/boko.wav,0,11,11,6,,,space,1.26762294769,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,taco,stim/taco.wav,0,12,12,42,,,space,1.13440799713,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,buku,stim/buku.wav,0,13,13,8,,,space,1.03358817101,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,piki,stim/piki.wav,0,14,14,38,,,space,0.983973026276,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,daka,stim/daka.wav,0,15,15,12,,,space,1.43410396576,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,coco,stim/coco.wav,0,16,16,10,,,space,1.38401985168,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,beke,stim/beke.wav,0,17,17,4,,,space,1.30111193657,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,bola,stim/bola.wav,0,18,18,7,,,space,1.16745591164,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,geke,stim/geke.wav,0,19,19,22,,,space,0.884166955948,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,duku,stim/duku.wav,0,20,20,17,,,space,0.850435018539,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,toko,stim/toko.wav,0,21,21,47,,,space,1.00072002411,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,deke,stim/deke.wav,0,22,22,13,,,space,1.23403191566,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,guku,stim/guku.wav,0,23,23,26,,,space,0.951155900955,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,dado,stim/dado.wav,0,24,24,11,,,space,0.950797796249,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,tiki,stim/tiki.wav,0,25,25,45,,,space,0.86751294136,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,diki,stim/diki.wav,0,26,26,14,,,space,0.917326927185,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,gaka,stim/gaka.wav,0,27,27,20,,,space,0.183451890945,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
distractor,oba,stim/oba.wav,0,28,28,33,,,space,1.55119204521,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,doko,stim/doko.wav,0,29,29,16,,,space,1.28375601768,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,biki,stim/biki.wav,0,30,30,5,,,space,1.26776003838,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,palo,stim/palo.wav,0,31,31,36,,,space,0.917222976685,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,topo,stim/topo.wav,0,32,32,46,,,space,0.900527954102,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,giki,stim/giki.wav,0,33,33,23,,,space,0.966594934464,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,kaka,stim/kaka.wav,0,34,34,28,,,space,1.20073699951,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,teke,stim/teke.wav,0,35,35,44,,,space,1.18510699272,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,kuku,stim/kuku.wav,0,36,36,32,,,space,1.06753611565,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
pname,bala,stim/bala.wav,0,37,37,3,,,space,0.984647035599,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
target,koko,stim/koko.wav,0,38,38,31,,,space,0.916579008102,,,004,jal,60.0654456822,prodShadow,2015_Jul_26_1322,midd,
