status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,3.66703510284,,,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,diki,stim/diki.wav,0,0,0,14,,,space,1.15059804916,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,peke,stim/peke.wav,0,1,1,37,,,space,0.81764292717,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,guku,stim/guku.wav,0,2,2,26,,,space,0.917598009109,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
distractor,epa,stim/epa.wav,0,3,3,19,,,space,0.801450967789,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,koko,stim/koko.wav,0,4,4,31,,,space,0.934181928635,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,beke,stim/beke.wav,0,5,5,4,,,space,1.21760892868,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,gota,stim/gota.wav,0,6,6,25,,,space,1.01800203323,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,buku,stim/buku.wav,0,7,7,8,,,space,0.950568914413,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
distractor,ada,stim/ada.wav,0,8,8,0,,,space,0.800510168076,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,piki,stim/piki.wav,0,9,9,38,,,space,0.750653982162,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,gaka,stim/gaka.wav,0,10,10,20,,,space,1.0004401207,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,keke,stim/keke.wav,0,11,11,29,,,space,0.867105960846,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,teke,stim/teke.wav,0,12,12,44,,,space,0.950577974319,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,topo,stim/topo.wav,0,13,13,46,,,space,0.767233133316,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,dodo,stim/dodo.wav,0,14,14,15,,,space,0.917656898499,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
distractor,apa,stim/apa.wav,0,15,15,1,,,space,0.90026807785,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,caca,stim/caca.wav,0,16,16,9,,,space,0.96725487709,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,dado,stim/dado.wav,0,17,17,11,,,space,1.13449001312,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,puku,stim/puku.wav,0,18,18,41,,,space,0.950820922852,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,polo,stim/polo.wav,0,19,19,40,,,space,0.883880853653,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,toko,stim/toko.wav,0,20,20,47,,,space,1.05044102669,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,boko,stim/boko.wav,0,21,21,6,,,space,0.917397022247,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
target,tiki,stim/tiki.wav,0,22,22,45,,,space,0.750230073929,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,taco,stim/taco.wav,0,23,23,42,,,space,0.850746154785,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
pname,palo,stim/palo.wav,0,24,24,36,,,space,0.866853952408,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
distractor,ita,stim/ita.wav,0,25,25,27,,,space,0.867478847504,,,004,jmt,None,prodShadow,2015_Jul_26_1833,midd,
