status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,0.98421216011,,,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
distractor,epa,stim/epa.wav,0,0,0,19,,,space,0.984003067017,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,tuku,stim/tuku.wav,0,1,1,48,,,space,0.950607061386,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,biki,stim/biki.wav,0,2,2,5,,,space,1.01719522476,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
pname,bala,stim/bala.wav,0,3,3,3,,,space,0.767311811447,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,teke,stim/teke.wav,0,4,4,44,,,space,0.333977222443,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
distractor,oba,stim/oba.wav,0,5,5,33,,,space,0.667387008667,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
pname,gato,stim/gato.wav,0,6,6,21,,,space,1.16693019867,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,kiki,stim/kiki.wav,0,7,7,30,,,space,0.733938932419,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,beke,stim/beke.wav,0,8,8,4,,,space,1.01726293564,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,peke,stim/peke.wav,0,9,9,37,,,space,0.734004020691,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,koko,stim/koko.wav,0,10,10,31,,,space,0.90068602562,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,guku,stim/guku.wav,0,11,11,26,,,space,1.0174241066,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
target,poko,stim/poko.wav,0,12,12,39,,,space,0.816957950592,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
pname,bola,stim/bola.wav,0,13,13,7,,,space,0.900712013245,,,004,mam,60.0910899997,prodShadow,2015_Jul_26_1605,midd,
