status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.55182003975,,,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,duku,stim/duku.wav,0,0,0,17,,,space,2.06611013412,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,paka,stim/paka.wav,0,1,1,35,,,space,1.0011408329,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,piki,stim/piki.wav,0,2,2,38,,,space,0.949898958206,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,biki,stim/biki.wav,0,3,3,5,,,space,1.08583688736,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,deke,stim/deke.wav,0,4,4,13,,,space,1.10141801834,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,giki,stim/giki.wav,0,5,5,23,,,space,0.835484027863,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,buku,stim/buku.wav,0,6,6,8,,,space,1.03268313408,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,beke,stim/beke.wav,0,7,7,4,,,space,1.18354701996,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,guku,stim/guku.wav,0,8,8,26,,,space,1.20227193832,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
distractor,eda,stim/eda.wav,0,9,9,18,,,space,1.06739592552,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
pname,gota,stim/gota.wav,0,10,10,25,,,space,1.10077404976,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
target,toko,stim/toko.wav,0,11,11,47,,,space,1.01841187477,,,004,mav,59.4462853725,prodShadow,2015_Jul_26_1421,midd,
