status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,0.284039020538,,,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,diki,stim/diki.wav,0,0,0,14,,,space,1.55057787895,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
pname,taco,stim/taco.wav,0,1,1,42,,,space,1.31738901138,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,kuku,stim/kuku.wav,0,2,2,32,,,space,1.33342385292,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,toko,stim/toko.wav,0,3,3,47,,,space,1.43392014503,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
pname,dodo,stim/dodo.wav,0,4,4,15,,,space,1.48383593559,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,gaka,stim/gaka.wav,0,5,5,20,,,space,1.4841401577,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,beke,stim/beke.wav,0,6,6,4,,,space,1.45080804825,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
distractor,ada,stim/ada.wav,0,7,7,0,,,space,1.06737303734,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
distractor,uta,stim/uta.wav,0,8,8,49,,,space,1.20102190971,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,paka,stim/paka.wav,0,9,9,35,,,space,1.10043001175,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
target,daka,stim/daka.wav,0,10,10,12,,,space,1.18384814262,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
distractor,eda,stim/eda.wav,0,11,11,18,,,space,1.21733903885,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
pname,coco,stim/coco.wav,0,12,12,10,,,space,1.30076098442,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
pname,topo,stim/topo.wav,0,13,13,46,,,space,1.11723303795,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
pname,palo,stim/palo.wav,0,14,14,36,,,space,1.13404512405,,,005,bco,60.0712954781,prodShadow,2015_Aug_02_1344,midd,
