status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.16739797592,,,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,piki,stim/piki.wav,0,0,0,38,,,space,2.43399000168,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,ada,stim/ada.wav,0,1,1,0,,,space,1.71746993065,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,bala,stim/bala.wav,0,2,2,3,,,space,1.35059905052,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,paka,stim/paka.wav,0,3,3,35,,,space,1.06701898575,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,poko,stim/poko.wav,0,4,4,39,,,space,1.1006269455,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,peke,stim/peke.wav,0,5,5,37,,,space,0.917567968369,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,eda,stim/eda.wav,0,6,6,18,,,space,1.01743817329,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,caca,stim/caca.wav,0,7,7,9,,,space,1.0677280426,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,taco,stim/taco.wav,0,8,8,42,,,space,0.984223127365,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,guku,stim/guku.wav,0,9,9,26,,,space,0.950821876526,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,kaka,stim/kaka.wav,0,10,10,28,,,space,0.917386054993,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,koko,stim/koko.wav,0,11,11,31,,,space,1.11742210388,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,duku,stim/duku.wav,0,12,12,17,,,space,1.06737208366,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,uta,stim/uta.wav,0,13,13,49,,,space,1.01760005951,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,apa,stim/apa.wav,0,14,14,1,,,space,1.16727185249,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,oka,stim/oka.wav,0,15,15,34,,,space,1.41754412651,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,teke,stim/teke.wav,0,16,16,44,,,space,1.13442778587,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,gaka,stim/gaka.wav,0,17,17,20,,,space,1.25096416473,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,boko,stim/boko.wav,0,18,18,6,,,space,1.45068216324,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,giki,stim/giki.wav,0,19,19,23,,,space,1.21744799614,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,keke,stim/keke.wav,0,20,20,29,,,space,1.28411102295,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,goko,stim/goko.wav,0,21,21,24,,,space,0.683732032776,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,diki,stim/diki.wav,0,22,22,14,,,space,1.08461499214,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,palo,stim/palo.wav,0,23,23,36,,,space,1.10065197945,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,kiki,stim/kiki.wav,0,24,24,30,,,space,1.03389000893,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,tiki,stim/tiki.wav,0,25,25,45,,,space,0.800759077072,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,ita,stim/ita.wav,0,26,26,27,,,space,1.05068016052,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,dodo,stim/dodo.wav,0,27,27,15,,,space,0.900454044342,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,deke,stim/deke.wav,0,28,28,13,,,space,1.71753001213,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,biki,stim/biki.wav,0,29,29,5,,,space,1.31704902649,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,baka,stim/baka.wav,0,30,30,2,,,space,1.53413701057,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,polo,stim/polo.wav,0,31,31,40,,,space,1.13392591476,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,bola,stim/bola.wav,0,32,32,7,,,space,1.26729989052,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,epa,stim/epa.wav,0,33,33,19,,,space,0.933791160583,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
pname,coco,stim/coco.wav,0,34,34,10,,,space,1.11749601364,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,tuku,stim/tuku.wav,0,35,35,48,,,space,1.20063614845,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,daka,stim/daka.wav,0,36,36,12,,,space,1.0672750473,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
distractor,oba,stim/oba.wav,0,37,37,33,,,space,1.00083422661,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,geke,stim/geke.wav,0,38,38,22,,,space,1.10078907013,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,toko,stim/toko.wav,0,39,39,47,,,space,0.833861112595,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,buku,stim/buku.wav,0,40,40,8,,,space,1.10086512566,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,doko,stim/doko.wav,0,41,41,16,,,space,1.2340528965,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
target,puku,stim/puku.wav,0,42,42,41,,,space,0.917068004608,,,005,blr,59.8880856477,prodShadow,2015_Aug_02_1515,midd,
