status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,6.68490600586,,,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,doko,stim/doko.wav,0,0,0,16,,,space,3.71774888039,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,kiki,stim/kiki.wav,0,1,1,30,,,space,1.8676109314,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,epa,stim/epa.wav,0,2,2,19,,,space,1.65088891983,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,goko,stim/goko.wav,0,3,3,24,,,space,1.8841919899,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,guku,stim/guku.wav,0,4,4,26,,,space,1.85082411766,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,biki,stim/biki.wav,0,5,5,5,,,space,1.75112295151,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,ita,stim/ita.wav,0,6,6,27,,,space,1.88416600227,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,toko,stim/toko.wav,0,7,7,47,,,space,1.56743812561,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,ada,stim/ada.wav,0,8,8,0,,,space,1.65095591545,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,bala,stim/bala.wav,0,9,9,3,,,space,1.8009519577,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,oba,stim/oba.wav,0,10,10,33,,,space,1.83382916451,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,keke,stim/keke.wav,0,11,11,29,,,space,1.5672519207,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,gato,stim/gato.wav,0,12,12,21,,,space,1.8004128933,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,gota,stim/gota.wav,0,13,13,25,,,space,1.65066599846,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,eda,stim/eda.wav,0,14,14,18,,,space,1.46699595451,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,apa,stim/apa.wav,0,15,15,1,,,space,1.65073800087,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,taco,stim/taco.wav,0,16,16,42,,,space,1.61747002602,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,buku,stim/buku.wav,0,17,17,8,,,space,1.93416690826,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,bola,stim/bola.wav,0,18,18,7,,,space,1.95116615295,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,piki,stim/piki.wav,0,19,19,38,,,space,1.40080285072,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,caca,stim/caca.wav,0,20,20,9,,,space,1.78414011002,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,polo,stim/polo.wav,0,21,21,40,,,space,1.6840338707,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,geke,stim/geke.wav,0,22,22,22,,,space,1.76751685143,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,tuku,stim/tuku.wav,0,23,23,48,,,space,1.86744189262,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,deke,stim/deke.wav,0,24,24,13,,,space,1.91718697548,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,topo,stim/topo.wav,0,25,25,46,,,space,1.31759309769,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,baka,stim/baka.wav,0,26,26,2,,,space,1.8341178894,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,taka,stim/taka.wav,0,27,27,43,,,space,1.28408718109,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,kaka,stim/kaka.wav,0,28,28,28,,,space,1.33422994614,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,beke,stim/beke.wav,0,29,29,4,,,space,1.75070309639,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,poko,stim/poko.wav,0,30,30,39,,,space,1.23429894447,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,duku,stim/duku.wav,0,31,31,17,,,space,1.60029506683,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,coco,stim/coco.wav,0,32,32,10,,,space,1.73417520523,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,koko,stim/koko.wav,0,33,33,31,,,space,1.58422899246,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,dado,stim/dado.wav,0,34,34,11,,,space,1.63428521156,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
pname,dodo,stim/dodo.wav,0,35,35,15,,,space,1.73421812057,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
distractor,oka,stim/oka.wav,0,36,36,34,,,space,1.70080804825,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,kuku,stim/kuku.wav,0,37,37,32,,,space,1.63394904137,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,gaka,stim/gaka.wav,0,38,38,20,,,space,1.75079679489,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,paka,stim/paka.wav,0,39,39,35,,,space,1.7177631855,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,diki,stim/diki.wav,0,40,40,14,,,space,1.88436198235,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,giki,stim/giki.wav,0,41,41,23,,,space,1.56769394875,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,boko,stim/boko.wav,0,42,42,6,,,space,1.76761198044,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
target,daka,stim/daka.wav,0,43,43,12,,,space,1.61791205406,,,005,djv,59.8999740081,prodShadow,2015_Aug_02_1548,midd,
