status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,2.65084195137,,,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,tuku,stim/tuku.wav,0,0,0,48,,,space,1.51782488823,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,keke,stim/keke.wav,0,1,1,29,,,space,1.21746301651,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,taco,stim/taco.wav,0,2,2,42,,,space,1.10035181046,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,kuku,stim/kuku.wav,0,3,3,32,,,space,1.00051283836,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,gaka,stim/gaka.wav,0,4,4,20,,,space,1.41714096069,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,epa,stim/epa.wav,0,5,5,19,,,space,1.25069499016,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,deke,stim/deke.wav,0,6,6,13,,,space,1.36717200279,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,kaka,stim/kaka.wav,0,7,7,28,,,space,1.25094509125,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,tiki,stim/tiki.wav,0,8,8,45,,,space,1.31795692444,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,topo,stim/topo.wav,0,9,9,46,,,space,0.91738986969,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,dado,stim/dado.wav,0,10,10,11,,,space,1.08380198479,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,guku,stim/guku.wav,0,11,11,26,,,space,1.28458309174,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,taka,stim/taka.wav,0,12,12,43,,,space,1.23409199715,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,ita,stim/ita.wav,0,13,13,27,,,space,1.18407511711,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,oka,stim/oka.wav,0,14,14,34,,,space,1.3509221077,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,daka,stim/daka.wav,0,15,15,12,,,space,1.25055003166,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,goko,stim/goko.wav,0,16,16,24,,,space,1.13342189789,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,toko,stim/toko.wav,0,17,17,47,,,space,0.950620889664,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,teke,stim/teke.wav,0,18,18,44,,,space,1.05056905746,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,caca,stim/caca.wav,0,19,19,9,,,space,1.01735186577,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,biki,stim/biki.wav,0,20,20,5,,,space,1.2342171669,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,oba,stim/oba.wav,0,21,21,33,,,space,1.03417396545,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,gato,stim/gato.wav,0,22,22,21,,,space,1.23398995399,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,eda,stim/eda.wav,0,23,23,18,,,space,1.23397994041,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,paka,stim/paka.wav,0,24,24,35,,,space,1.30094790459,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,bala,stim/bala.wav,0,25,25,3,,,space,1.20072817802,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,doko,stim/doko.wav,0,26,26,16,,,space,1.2673637867,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,ada,stim/ada.wav,0,27,27,0,,,space,1.23429703712,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,geke,stim/geke.wav,0,28,28,22,,,space,1.31704592705,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,baka,stim/baka.wav,0,29,29,2,,,space,1.23424386978,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,buku,stim/buku.wav,0,30,30,8,,,space,1.1166779995,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,boko,stim/boko.wav,0,31,31,6,,,space,1.4512090683,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,polo,stim/polo.wav,0,32,32,40,,,space,1.00086283684,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,giki,stim/giki.wav,0,33,33,23,,,space,1.26750898361,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,duku,stim/duku.wav,0,34,34,17,,,space,1.4344367981,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,puku,stim/puku.wav,0,35,35,41,,,space,1.20063304901,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,piki,stim/piki.wav,0,36,36,38,,,space,1.20064902306,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,beke,stim/beke.wav,0,37,37,4,,,space,1.50084686279,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,coco,stim/coco.wav,0,38,38,10,,,space,1.20059084892,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,diki,stim/diki.wav,0,39,39,14,,,space,1.18434381485,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,peke,stim/peke.wav,0,40,40,37,,,space,0.934637069702,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,gota,stim/gota.wav,0,41,41,25,,,space,1.15103411674,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,bola,stim/bola.wav,0,42,42,7,,,space,1.31772089005,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,apa,stim/apa.wav,0,43,43,1,,,space,1.01741504669,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,dodo,stim/dodo.wav,0,44,44,15,,,space,1.18402504921,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
target,kiki,stim/kiki.wav,0,45,45,30,,,space,1.18370294571,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
distractor,uta,stim/uta.wav,0,46,46,49,,,space,1.38387918472,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
pname,palo,stim/palo.wav,0,47,47,36,,,space,1.16745400429,,,005,jal,60.004949978,prodShadow,2015_Aug_02_1326,midd,
