status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.95085501671,,,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,teke,stim/teke.wav,0,0,0,44,,,space,1.13433003426,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,doko,stim/doko.wav,0,1,1,16,,,space,1.11783409119,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,gaka,stim/gaka.wav,0,2,2,20,,,space,1.15080595016,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,ada,stim/ada.wav,0,3,3,0,,,space,0.934005975723,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,gato,stim/gato.wav,0,4,4,21,,,space,1.35090708733,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,caca,stim/caca.wav,0,5,5,9,,,space,1.000893116,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,guku,stim/guku.wav,0,6,6,26,,,space,1.36801099777,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,tiki,stim/tiki.wav,0,7,7,45,,,space,0.901057958603,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,dado,stim/dado.wav,0,8,8,11,,,space,1.18437409401,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,epa,stim/epa.wav,0,9,9,19,,,space,0.86719083786,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,puku,stim/puku.wav,0,10,10,41,,,space,0.984095811844,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,oba,stim/oba.wav,0,11,11,33,,,space,0.783958911896,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,coco,stim/coco.wav,0,12,12,10,,,space,0.967474937439,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,piki,stim/piki.wav,0,13,13,38,,,space,0.834001779556,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,ita,stim/ita.wav,0,14,14,27,,,space,0.817376852036,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,palo,stim/palo.wav,0,15,15,36,,,space,0.86741399765,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,kaka,stim/kaka.wav,0,16,16,28,,,space,0.867483139038,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,paka,stim/paka.wav,0,17,17,35,,,space,0.717389822006,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,eda,stim/eda.wav,0,18,18,18,,,space,0.867323160172,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,buku,stim/buku.wav,0,19,19,8,,,space,0.967584848404,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,gota,stim/gota.wav,0,20,20,25,,,space,1.15056610107,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,tuku,stim/tuku.wav,0,21,21,48,,,space,0.917518138885,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,kiki,stim/kiki.wav,0,22,22,30,,,space,0.850274801254,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,baka,stim/baka.wav,0,23,23,2,,,space,0.934335947037,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,bola,stim/bola.wav,0,24,24,7,,,space,1.08371186256,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,topo,stim/topo.wav,0,25,25,46,,,space,0.850657939911,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,oka,stim/oka.wav,0,26,26,34,,,space,1.00085997581,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,boko,stim/boko.wav,0,27,27,6,,,space,1.08408379555,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,daka,stim/daka.wav,0,28,28,12,,,space,0.95067691803,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,bala,stim/bala.wav,0,29,29,3,,,space,0.934522151947,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,poko,stim/poko.wav,0,30,30,39,,,space,0.750725984573,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,diki,stim/diki.wav,0,31,31,14,,,space,0.867453098297,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,deke,stim/deke.wav,0,32,32,13,,,space,1.01732397079,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,polo,stim/polo.wav,0,33,33,40,,,space,0.867421865463,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,giki,stim/giki.wav,0,34,34,23,,,space,0.867076873779,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,koko,stim/koko.wav,0,35,35,31,,,space,1.03422904015,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,goko,stim/goko.wav,0,36,36,24,,,space,0.983959197998,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,kuku,stim/kuku.wav,0,37,37,32,,,space,0.734117984772,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,keke,stim/keke.wav,0,38,38,29,,,space,0.784137964249,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,biki,stim/biki.wav,0,39,39,5,,,space,1.06713414192,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,taco,stim/taco.wav,0,40,40,42,,,space,0.933803081512,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,duku,stim/duku.wav,0,41,41,17,,,space,0.900639057159,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,toko,stim/toko.wav,0,42,42,47,,,space,0.93431186676,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,taka,stim/taka.wav,0,43,43,43,,,space,0.867477893829,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
pname,dodo,stim/dodo.wav,0,44,44,15,,,space,0.817701101303,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
target,geke,stim/geke.wav,0,45,45,22,,,space,0.917073011398,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
distractor,apa,stim/apa.wav,0,46,46,1,,,space,0.900851011276,,,005,jmt,59.9800652955,prodShadow,2015_Aug_02_1410,midd,
