status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.41711091995,,,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,ada,stim/ada.wav,0,0,0,0,,,space,1.0841190815,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,epa,stim/epa.wav,0,1,1,19,,,space,0.750559091568,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,giki,stim/giki.wav,0,2,2,23,,,space,0.70067691803,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,puku,stim/puku.wav,0,3,3,41,,,space,0.983891010284,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,tuku,stim/tuku.wav,0,4,4,48,,,space,0.800579071045,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,oka,stim/oka.wav,0,5,5,34,,,space,1.10061597824,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,kaka,stim/kaka.wav,0,6,6,28,,,space,0.850694179535,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,baka,stim/baka.wav,0,7,7,2,,,space,0.867478847504,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,polo,stim/polo.wav,0,8,8,40,,,space,0.817402124405,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,palo,stim/palo.wav,0,9,9,36,,,space,0.68397808075,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,dado,stim/dado.wav,0,10,10,11,,,space,0.933986902237,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,geke,stim/geke.wav,0,11,11,22,,,space,0.834365129471,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,piki,stim/piki.wav,0,12,12,38,,,space,0.634252071381,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,gato,stim/gato.wav,0,13,13,21,,,space,1.03438997269,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,bala,stim/bala.wav,0,14,14,3,,,space,0.750777959824,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,guku,stim/guku.wav,0,15,15,26,,,space,0.817400932312,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,bola,stim/bola.wav,0,16,16,7,,,space,0.867376089096,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,paka,stim/paka.wav,0,17,17,35,,,space,0.783871173859,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,caca,stim/caca.wav,0,18,18,9,,,space,0.834045886993,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,taco,stim/taco.wav,0,19,19,42,,,space,0.883985996246,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,tiki,stim/tiki.wav,0,20,20,45,,,space,0.650806188583,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,buku,stim/buku.wav,0,21,21,8,,,space,0.783894062042,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
pname,topo,stim/topo.wav,0,22,22,46,,,space,0.600358009338,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,beke,stim/beke.wav,0,23,23,4,,,space,0.850537061691,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,daka,stim/daka.wav,0,24,24,12,,,space,0.667319059372,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,kuku,stim/kuku.wav,0,25,25,32,,,space,0.617429971695,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,ita,stim/ita.wav,0,26,26,27,,,space,0.650238037109,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,diki,stim/diki.wav,0,27,27,14,,,space,0.800456047058,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,uta,stim/uta.wav,0,28,28,49,,,space,0.784210920334,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
distractor,oba,stim/oba.wav,0,29,29,33,,,space,0.70049405098,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,deke,stim/deke.wav,0,30,30,13,,,space,0.900815010071,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
target,biki,stim/biki.wav,0,31,31,5,,,space,0.883774995804,,,005,mam,59.930186536,prodShadow,2015_Aug_02_1608,midd,
