status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,1.9337580204,,,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,biki,stim/biki.wav,0,0,0,5,,,space,1.41756510735,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,geke,stim/geke.wav,0,1,1,22,,,space,1.25080299377,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,kiki,stim/kiki.wav,0,2,2,30,,,space,1.16733884811,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,teke,stim/teke.wav,0,3,3,44,,,space,1.03385996819,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,taco,stim/taco.wav,0,4,4,42,,,space,1.15089488029,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,palo,stim/palo.wav,0,5,5,36,,,space,1.15072703362,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,ita,stim/ita.wav,0,6,6,27,,,space,1.85064506531,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,deke,stim/deke.wav,0,7,7,13,,,space,1.61747503281,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,uta,stim/uta.wav,0,8,8,49,,,space,1.33379507065,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,piki,stim/piki.wav,0,9,9,38,,,space,1.11733293533,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,diki,stim/diki.wav,0,10,10,14,,,space,1.23394703865,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,epa,stim/epa.wav,0,11,11,19,,,space,1.03394293785,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,taka,stim/taka.wav,0,12,12,43,,,space,1.20089483261,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,guku,stim/guku.wav,0,13,13,26,,,space,1.18416881561,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,gota,stim/gota.wav,0,14,14,25,,,space,1.36763906479,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,paka,stim/paka.wav,0,15,15,35,,,space,1.13397312164,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,caca,stim/caca.wav,0,16,16,9,,,space,1.11688780785,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,giki,stim/giki.wav,0,17,17,23,,,space,1.11737298965,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,topo,stim/topo.wav,0,18,18,46,,,space,0.934307098389,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,apa,stim/apa.wav,0,19,19,1,,,space,1.0510559082,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,gato,stim/gato.wav,0,20,20,21,,,space,1.35052204132,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
pname,dado,stim/dado.wav,0,21,21,11,,,space,1.20059204102,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,oba,stim/oba.wav,0,22,22,33,,,space,1.1004960537,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,koko,stim/koko.wav,0,23,23,31,,,space,1.13432097435,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
distractor,oka,stim/oka.wav,0,24,24,34,,,space,1.1672770977,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,gaka,stim/gaka.wav,0,25,25,20,,,space,1.10068798065,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
target,puku,stim/puku.wav,0,26,26,41,,,space,1.0837700367,,,005,mav,60.0070961761,prodShadow,2015_Aug_02_1422,midd,
