status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,0.200813055038,,,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,daka,stim/daka.wav,0,0,0,12,,,space,6.25099682808,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,bala,stim/bala.wav,0,1,1,3,,,space,2.41675209999,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,taco,stim/taco.wav,0,2,2,42,,,space,1.6162481308,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,palo,stim/palo.wav,0,3,3,36,,,space,1.21621084213,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,baka,stim/baka.wav,0,4,4,2,,,space,1.38407301903,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,goko,stim/goko.wav,0,5,5,24,,,space,1.43442988396,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,tuku,stim/tuku.wav,0,6,6,48,,,space,1.33322191238,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,tiki,stim/tiki.wav,0,7,7,45,,,space,1.18444991112,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,peke,stim/peke.wav,0,8,8,37,,,space,1.21689891815,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,caca,stim/caca.wav,0,9,9,9,,,space,1.28368282318,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,duku,stim/duku.wav,0,10,10,17,,,space,1.33408403397,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,biki,stim/biki.wav,0,11,11,5,,,space,1.76811385155,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,eda,stim/eda.wav,0,12,12,18,,,space,1.4334590435,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,geke,stim/geke.wav,0,13,13,22,,,space,1.56685495377,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,epa,stim/epa.wav,0,14,14,19,,,space,1.50080013275,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,kaka,stim/kaka.wav,0,15,15,28,,,space,1.51712203026,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,taka,stim/taka.wav,0,16,16,43,,,space,1.33294606209,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,polo,stim/polo.wav,0,17,17,40,,,space,1.66753697395,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,uta,stim/uta.wav,0,18,18,49,,,space,1.28415393829,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,kiki,stim/kiki.wav,0,19,19,30,,,space,2.16726207733,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,boko,stim/boko.wav,0,20,20,6,,,space,1.6008439064,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,topo,stim/topo.wav,0,21,21,46,,,space,1.26754784584,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,gota,stim/gota.wav,0,22,22,25,,,space,1.50014996529,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,guku,stim/guku.wav,0,23,23,26,,,space,1.58438801765,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,puku,stim/puku.wav,0,24,24,41,,,space,1.36738801003,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,deke,stim/deke.wav,0,25,25,13,,,space,1.38430094719,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,coco,stim/coco.wav,0,26,26,10,,,space,1.2842130661,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,bola,stim/bola.wav,0,27,27,7,,,space,1.5173830986,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,oba,stim/oba.wav,0,28,28,33,,,space,1.36721396446,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,ada,stim/ada.wav,0,29,29,0,,,space,1.45112299919,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,paka,stim/paka.wav,0,30,30,35,,,space,1.40156698227,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,ita,stim/ita.wav,0,31,31,27,,,space,1.40123796463,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,gato,stim/gato.wav,0,32,32,21,,,space,1.68413496017,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,dado,stim/dado.wav,0,33,33,11,,,space,1.56739497185,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,toko,stim/toko.wav,0,34,34,47,,,space,1.39982295036,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,teke,stim/teke.wav,0,35,35,44,,,space,1.53453683853,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,beke,stim/beke.wav,0,36,36,4,,,space,1.78395009041,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,diki,stim/diki.wav,0,37,37,14,,,space,1.4500849247,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,apa,stim/apa.wav,0,38,38,1,,,space,1.48400592804,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,kuku,stim/kuku.wav,0,39,39,32,,,space,1.46694493294,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,gaka,stim/gaka.wav,0,40,40,20,,,space,1.55025291443,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,buku,stim/buku.wav,0,41,41,8,,,space,1.90134596825,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,piki,stim/piki.wav,0,42,42,38,,,space,1.78469800949,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,poko,stim/poko.wav,0,43,43,39,,,space,1.34949302673,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,koko,stim/koko.wav,0,44,44,31,,,space,1.4506020546,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,keke,stim/keke.wav,0,45,45,29,,,space,1.26697516441,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,giki,stim/giki.wav,0,46,46,23,,,space,1.36726212502,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,dodo,stim/dodo.wav,0,47,47,15,,,space,1.48450803757,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,doko,stim/doko.wav,0,48,48,16,,,space,1.58374595642,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,oka,stim/oka.wav,0,49,49,34,,,space,1.51751708984,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,peke,stim/peke.wav,1,0,50,37,,,space,1.53379487991,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,teke,stim/teke.wav,1,1,51,44,,,space,1.33472299576,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,kiki,stim/kiki.wav,1,2,52,30,,,space,1.48399209976,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
target,guku,stim/guku.wav,1,3,53,26,,,space,1.60006093979,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,apa,stim/apa.wav,1,4,54,1,,,space,1.55103802681,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
pname,taco,stim/taco.wav,1,5,55,42,,,space,1.51804590225,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
distractor,ada,stim/ada.wav,1,6,56,0,,,space,1.43335199356,,,006,ems,59.7660543726,prodShadow,2015_Aug_09_1527,midd,
