status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,9.16766095161,,,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,kiki,stim/kiki.wav,0,0,0,30,,,space,1.26739597321,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,topo,stim/topo.wav,0,1,1,46,,,space,1.06669998169,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,kuku,stim/kuku.wav,0,2,2,32,,,space,1.13444280624,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,paka,stim/paka.wav,0,3,3,35,,,space,1.1001188755,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,biki,stim/biki.wav,0,4,4,5,,,space,1.4336669445,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,ada,stim/ada.wav,0,5,5,0,,,space,1.21807193756,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,toko,stim/toko.wav,0,6,6,47,,,space,1.1830830574,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,keke,stim/keke.wav,0,7,7,29,,,space,1.16746091843,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,deke,stim/deke.wav,0,8,8,13,,,space,1.4832239151,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,coco,stim/coco.wav,0,9,9,10,,,space,1.41756010056,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,baka,stim/baka.wav,0,10,10,2,,,space,1.36715006828,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,eda,stim/eda.wav,0,11,11,18,,,space,1.0834980011,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,doko,stim/doko.wav,0,12,12,16,,,space,1.2498960495,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,puku,stim/puku.wav,0,13,13,41,,,space,1.18399715424,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,oba,stim/oba.wav,0,14,14,33,,,space,1.06731510162,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,apa,stim/apa.wav,0,15,15,1,,,space,1.20087003708,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,dado,stim/dado.wav,0,16,16,11,,,space,1.26800107956,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,goko,stim/goko.wav,0,17,17,24,,,space,1.55059313774,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,epa,stim/epa.wav,0,18,18,19,,,space,1.11671090126,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,piki,stim/piki.wav,0,19,19,38,,,space,1.03313708305,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,poko,stim/poko.wav,0,20,20,39,,,space,0.968055963516,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,daka,stim/daka.wav,0,21,21,12,,,space,1.00037193298,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,gato,stim/gato.wav,0,22,22,21,,,space,1.50017690659,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,ita,stim/ita.wav,0,23,23,27,,,space,1.21655392647,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,koko,stim/koko.wav,0,24,24,31,,,space,1.25057601929,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,gota,stim/gota.wav,0,25,25,25,,,space,1.26749992371,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,peke,stim/peke.wav,0,26,26,37,,,space,1.15019106865,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,tiki,stim/tiki.wav,0,27,27,45,,,space,1.1507589817,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,geke,stim/geke.wav,0,28,28,22,,,space,1.30033516884,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,teke,stim/teke.wav,0,29,29,44,,,space,1.33470892906,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,dodo,stim/dodo.wav,0,30,30,15,,,space,1.21662378311,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,taco,stim/taco.wav,0,31,31,42,,,space,1.34970092773,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,beke,stim/beke.wav,0,32,32,4,,,space,1.45032000542,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,kaka,stim/kaka.wav,0,33,33,28,,,space,1.20163917542,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
distractor,oka,stim/oka.wav,0,34,34,34,,,space,1.23478507996,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,guku,stim/guku.wav,0,35,35,26,,,space,1.24989199638,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
pname,bala,stim/bala.wav,0,36,36,3,,,space,1.25074696541,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
target,giki,stim/giki.wav,0,37,37,23,,,space,1.11799097061,,,006,jkw,59.9574295937,prodShadow,2015_Aug_09_1623,midd,
