status,text,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,session,participant,frameRate,expName,date,condition,
,,,,,,,space,3.76774096489,,,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,guku,stim/guku.wav,0,0,0,26,,,space,2.3341050148,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,daka,stim/daka.wav,0,1,1,12,,,space,1.51774096489,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
pname,polo,stim/polo.wav,0,2,2,40,,,space,1.71745204926,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
pname,bala,stim/bala.wav,0,3,3,3,,,space,1.33449316025,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
distractor,oka,stim/oka.wav,0,4,4,34,,,space,1.68387293816,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
pname,gota,stim/gota.wav,0,5,5,25,,,space,1.7675318718,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,tuku,stim/tuku.wav,0,6,6,48,,,space,1.81722402573,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,gaka,stim/gaka.wav,0,7,7,20,,,space,1.7672560215,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
pname,gato,stim/gato.wav,0,8,8,21,,,space,1.95082116127,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,buku,stim/buku.wav,0,9,9,8,,,space,1.81725406647,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,geke,stim/geke.wav,0,10,10,22,,,space,1.76728606224,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,teke,stim/teke.wav,0,11,11,44,,,space,1.53432106972,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,giki,stim/giki.wav,0,12,12,23,,,space,1.5507068634,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
pname,dodo,stim/dodo.wav,0,13,13,15,,,space,1.63434004784,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,kuku,stim/kuku.wav,0,14,14,32,,,space,1.55094695091,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,koko,stim/koko.wav,0,15,15,31,,,space,1.75060200691,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
distractor,ita,stim/ita.wav,0,16,16,27,,,space,1.78347086906,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
target,duku,stim/duku.wav,0,17,17,17,,,space,1.81768298149,,,006,lmw,60.1200306742,prodShadow,2015_Aug_09_1440,midd,
