file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ems_prodShadow1_taka1,0.0,1.0229024943310658,ems,-52.392783969056374,-55.87290287017822,4.615448683693786,8.769574905389945
jal_prodShadow1_paka2,0.0,1.132,jal,-45.451608303373895,-50.34769153594971,4.582504194533442,11.365007952445776
mav_prodShadow1_taka2,0.0,0.8788888888888889,mav,-48.61981201171875,-47.525712966918945,4.275765554603867,8.415927432175359
blr_prodShadow1_ada2,0.0,0.8925396825396825,blr,-49.685371313202246,-44.53109614054362,4.248335256234341,18.068880645559734
jal_prodShadow1_daka1,0.0,0.991,jal,-47.88550544507576,-48.01641273498535,4.084991726453491,13.668531461175485
lmw_prodShadow1_uta2,0.0,1.1277551020408163,lmw,-52.91473226631637,-56.60109202067057,3.951673438079529,14.678730213034491
jal_prodShadow1_taka1,0.0,0.8919274376417233,jal,-46.07403221558989,-46.40252208709717,3.766240354801197,12.975618819343971
djv_prodShadow1_ada1,0.0,0.9697732426303854,djv,-48.70325084568299,-45.585208892822266,3.7590827101827284,18.59010099616383
jkw_prodShadow1_gota,0.0,1.0076190476190476,jkw,-54.348043007425744,-58.63718032836914,3.638128378086312,4.424824970552351
ems_prodShadow1_uta2,0.0,0.977,ems,-53.2751614317602,-59.799912770589195,3.6081346068934135,5.946676734493751
lmw_prodShadow1_gaka1,0.0,1.327936507936508,lmw,-47.34659891917293,-49.53024101257324,3.3920318046356326,14.738003671660683
jkw_prodShadow1_taka,0.0,0.954,jkw,-52.65226665296053,-55.86792278289795,3.2567151549985285,11.491008719543775
lmw_prodShadow1_bola2,0.0,1.247845804988662,lmw,-44.34247265625,-45.32351112365723,3.2127441014317184,14.744896838165056
jkw_prodShadow1_eda1,0.0,1.1277324263038548,jkw,-48.530597517975664,-54.80162811279297,3.1703593894852937,14.732349301664758
lmw_prodShadow1_eda,0.0,1.154,lmw,-52.821739130434786,-52.30070241292318,3.1331200516906965,12.928333314584378
lmw_prodShadow1_baka2,0.0,1.1277324263038548,lmw,-46.48306571487832,-48.655484199523926,3.0140975111662613,11.975401249406108
jmt_prodShadow1_taka1,0.0,0.9008616780045351,jmt,-51.561686197916664,-52.02254390716553,2.91703151974082,13.161251696988195
jkw_prodShadow1_paka2,0.0,1.044,jkw,-44.29907696063702,-48.92884635925293,2.8942132646599554,13.487201079125107
lmw_prodShadow1_gaka2,0.0,1.305,lmw,-45.75688812022901,-52.07640838623047,2.8578328386477847,14.557515533523974
jkw_prodShadow1_kaka,0.0,1.101,jkw,-58.55728426846591,-66.32791709899902,2.7720904404619806,13.837002642673143
jkw_prodShadow1_caca,0.0,1.114,jkw,-52.92981067004504,-61.15610408782959,2.7720904404619806,14.124001535908695
ems_prodShadow1_caca2,0.0,1.029,ems,-51.56256636832524,-61.11195945739746,2.72854371582371,6.852302808214381
ems_prodShadow1_caca1,0.0,1.0687755102040817,ems,-53.478237259053735,-56.84578227996826,2.72854371582371,7.497183114606436
ems_prodShadow1_uta1,0.0,1.0097959183673468,ems,-56.17475634282178,-62.31902821858724,2.723305901764174,8.787016541073088
lmw_prodShadow1_bala1,0.0,1.287891156462585,lmw,-44.86215328246124,-46.99478054046631,2.7015709603287523,15.33899586892532
lmw_prodShadow1_oka2,0.0,1.1277324263038548,lmw,-47.84525373340708,-51.329158782958984,2.7015700289289377,12.742651738222415
lmw_prodShadow1_gota2,0.0,1.131859410430839,lmw,-52.68207273230089,-57.066444396972656,2.7015700289289377,13.615092454357974
lmw_prodShadow1_baka1,0.0,1.194,lmw,-48.22648453912815,-49.00140190124512,2.5453081506099053,13.366636559879634
lmw_prodShadow1_taka2,0.0,0.9675963718820861,lmw,-48.17068198292526,-53.06661319732666,2.5453081506099053,15.16595158945882
lmw_prodShadow1_ita,0.0,1.154,lmw,-47.96286514945652,-50.22484588623047,2.5453081506099053,13.553469724430968
lmw_prodShadow1_daka1,0.0,1.141,lmw,-47.86437345805921,-54.29874610900879,2.5453072192100907,15.45265384066414
mav_prodShadow1_eda,0.0,0.82,mav,-44.90341856421494,-46.57221984863281,2.535953532178581,14.586946959217453
lmw_prodShadow1_paka,0.0,1.154,lmw,-46.88541100543478,-48.999836921691895,2.53243658548809,14.401521613971457
blr_prodShadow1_oba2,0.0,0.8488888888888889,blr,-59.39689223345588,-64.89825820922852,2.4977797300897255,14.83140277957847
blr_prodShadow1_oba1,0.0,0.834,blr,-53.65515577936747,-59.570088704427086,2.497777821382017,16.415984670051532
ems_prodShadow1_bala2,0.0,0.9639002267573696,ems,-47.9723866780599,-49.41830635070801,2.4917678865538346,13.237577314115239
blr_prodShadow1_oka1,0.0,0.9216099773242631,blr,-51.50807787024456,-56.42107009887695,2.4912339728377897,11.230260585738275
jkw_prodShadow1_gaka,0.0,1.2745578231292518,jkw,-55.604076956200785,-64.33720874786377,2.4551073487920894,8.266361811053194
djv_prodShadow1_caca,0.0,0.9259410430839002,djv,-52.70018481182796,-60.889206886291504,2.4551068830921823,14.960857538680424
